id,coder,sample,variable,text,name
284,Coder 1,1,rd,"Relative deprivation was measured by two items adapted from Leach, Iyer, and Pedersen (2007): ‘Blacks are economically disadvantaged compared to Whites’ and ‘Blacks are socially disadvantaged compared to Whites’ (r = .60 p < .000).",Relative deprivation
284,Coder 1,1,ps,"Support for policies beneﬁting the ingroup was measured byfouritems(=.91)adaptedfromSchumann,Steeh,Bobo,andKrysan(1997):‘Special university scholarships should be provided for Black students who attain good grades’ and ‘Some people think that Blacks have been discriminated against for so long that the government has a special obligation to help improve their standard of living’.",Policy support
284,Coder 1,1,ca,"We measured collective action with three items ( = .79) adapted from Van Zomeren et al. (2008) and Smith, Cronin, and Kessler (2008). Sample items included ‘I would be willing to sign a petition to improve the current situation of Blacks in South Africa’ and ‘I would be willing to sign up for a neighbourhood project to improve the conditions for Blacks in my neighbourhood’.",Collective action
284,Coder 1,1,gi,"Social identiﬁcation was measured by two items from Luhtanen and Crocker, 1992: ‘Being Black is an important reﬂection of who I am’ and ‘In general, belonging to the Black community in SA is an important part of my self-image’ (r =.52, p < .001).",Group identificaiton
284,Coder 1,1,ge,"Group efﬁcacy was measured by three items adapted from Kelly and Breinlinger (1996), and Mummendey, Kessler, Klink, and Mielke (1999): ‘Blacks as a group can change the current conditions of Blacks in SA’ and ‘We Black South Africans can change our relations with White South Africans by our own effort’ (=.84).",Group efficacy
286,Coder 2,1,cf,"To assess the quality of contact between Turks and Kurds, three items were adapted from Glasford and Calcagno (2012): “Some of my closest friends are Turks/Kurds,” “I feel very close to my Turkish/Kurdish friends,” and “Most of my experiences with Turks/Kurds are positive” (.78).",Cross-group friendship
286,Coder 2,1,ps,"Nine items were constructed that referred to supporting more rights and opportunities for Kurds as specified in the democratization package: “I support ending penalties for the use of certain letters, such as ‘q,’ ‘w,’ and ‘x’ which are used in Kurdish but forbidden in official documents in Turkey;” “I support eliminating legal obstacles against restoring the original names of villages;” “I support ending the student oath, which starts with the words ‘I’m Turkish, righteous, and hardworking,’ in primary schools;” “I support permitting education in mother tongues in private schools;” “I support allowing election campaigns in different languages and dialects;” “I support the peace process in Tur-key;” “I support the I˙mralı talks;” “I support the possibility of house arrest for Abdullah Öcalan;” and “I support the possibility of Abdullah Öcalan’s participation in the Turkish political arena” (  .94). Stronger endorsement of these items can be seen as more support for pro-Kurdish policy changes.",Policy support
297,Coder 1,1,in,NA,Ingroup contact
297,Coder 1,1,ic,NA,Intergroup contact (other)
297,Coder 1,1,pi,NA,Perceived injustice (other)
303,Coder 1,1,cf,"Previous friendships  and attitudes about engaging in close friendships in the future were measured with  questions like, “How often have you pursued close friendships in the past with...” and  “How likely are you to pursue a close friendship in the future with...” with possible  answers of: 1 (not very) to 4 (very).",Cross-group friendship
303,Coder 1,1,pd,"Discrimination. Discrimination experiences were measured using the short-form  scale of the Daily Racial Microaggressions (DRM; Mercer, Ziegler-Hill, Wallace, &  Hayes, 2010). This 14-item self-report survey was found to meaningfully correlate with  other race-/ethnicity-related scales. Overall microaggression experiences, two constructs  (microinsults and microinvalidations), and seven individual factors are measured. The  items are scored on a 1 to 5 Likert-type scale, where: 1 = never happened to me, 2 =  happened to me, but I was not upset, 3 = happened to me and I was slightly upset, 4 =  happened to me and I was moderately upset, and 5 = happened to me and I was extremely  upset. The DRM can be scored dichotomously (are experiences reported: 1= no, or 2-5 =  yes) or continuously (how upset by experiences: 1-5) with internal consistencies that were  reported by scale developers at α = .95 and .94, respectively. Reliability in the extant  dataset was scored continuously with a Cronbach’s alpha of .87 for the total score.",Personal discrimination
317,Coder 1,1,ic,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the  KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other  Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In  the CCF data, the two relevant items were “Thinking about all of your friends, about what  58    percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).  The question asking for the percentage of co-ethnic friends was used in this study in order to  consider how many co-ethnic friends respondents had, compared to friends from other ethnic  groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%,  (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Intergroup contact (other)
317,Coder 1,1,pd,"Perceived discrimination (PD) was measured using a scale based on a composite of  measures developed by Phinney, Madden, and Santos (1998) and Verkuyten (1998). In the KAF  data, the PD scale developed for the international study consists of six items: Four items assess  the perceived frequency of being treated unfairly or negatively due to participants’ ethnic  background by peers, teachers, and other Americans while two items assess how often they feel  that other Americans behave unfairly toward Koreans or have something against Koreans (see  Appendix A). Examples include “How often do you feel that other students/your teachers treat  you unfairly because you are Korean?” and “How often do you feel that you are called names in  school because you are Korean?”",Personal discrimination
317,Coder 1,2,ic,"In  the CCF data, the two relevant items were “Thinking about all of your friends, about what percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).",Intergroup contact (other)
317,Coder 1,2,pd,"In the CCF data, the PD was measured using two items: “I am  treated unfairly by the people in my neighborhood, because I am (Vietnamese/Cambodian)” and  “I am treated unfairly by the people in my school, because I am (Vietnamese/Cambodian).”",Personal discrimination
317,Coder 1,3,ic,"In  the CCF data, the two relevant items were “Thinking about all of your friends, about what  58    percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).",Intergroup contact (other)
317,Coder 1,3,pd,"In the CCF data, the PD was measured using two items: “I am  treated unfairly by the people in my neighborhood, because I am (Vietnamese/Cambodian)” and  “I am treated unfairly by the people in my school, because I am (Vietnamese/Cambodian).”",Personal discrimination
322,Coder 2,1,pc,"Positive and negative contact were each assessed by a single item (Barlow, Paolini, et al., 2012). Participants were first given a specific instruction asking them to consider their Turkish peers if they were Kurdish or their Kurdish peers if they were Turkish (“If you are Turkish, please think about your Kurdish peers” and “If you are Kurdish, please think about your Turkish peers”). Next, they were asked to report the extent to which they had positive and negative contact with these peers (“How frequently do you have positive/ negative contact with these peers?”). The response scale ranged from 1 (= never) to 7 (= all the time).",Contact quality / Positive contact
322,Coder 2,1,nc,"Positive and negative contact were each assessed by a single item (Barlow, Paolini, et al., 2012). Participants were first given a specific instruction asking them to consider their Turkish peers if they were Kurdish or their Kurdish peers if they were Turkish (“If you are Turkish, please think about your Kurdish peers” and “If you are Kurdish, please think about your Turkish peers”). Next, they were asked to report the extent to which they had positive and negative contact with these peers (“How frequently do you have positive/ negative contact with these peers?”). The response scale ranged from 1 (= never) to 7 (= all the time).",Negative contact
322,Coder 2,1,pd,"We assessed the level of perceived discrimination by two items previously used by Tropp et al. (2012). One of the items measured perceived discrimination at the individual level (“To what extent do you feel you are personally discriminated because of your ethnic background?”), and the other item assessed perceived discrimination at the group level (“To what extent do you feel your ingroup members are discriminated because of their ethnic background?”). The response scale ranged from 1 (= never) to 7 (= all the time). The reliability of the scales was good for both groups (α = .87 for Turks and .79 for Kurds).",Personal discrimination
322,Coder 2,1,rd,"Relative deprivation was measured by two items assessing how much participants felt that their ethnic group was relatively deprived compared to the outgroup. Participants were first given a specific instruction about which group they needed to compare themselves (“If you are Turkish, compared to Kurds. . .; If you are Kurdish, compared to Turks. . .”). The instruction was followed by two items: “To what extent your ethnic group is economically advantaged?” and “To what extent your ethnic group is socially advantaged?” (adapted from Cakal et al., 2011). The response scale ranged from 1 (= very disadvantaged) to 7 (= very advantaged). Both items were reverse-coded so that higher scores indicated higher levels of relative deprivation. Reliabilities assessed by Cronbach’s α coefficients demonstrated acceptable reliability scores across the two groups (α = .68 and .71 for Turks and Kurds, respectively).",Relative deprivation
322,Coder 2,1,ca,"We assessed participants’ tendencies to engage in collective action by four items adapting the collective action tendencies scale previously used by Çakal et al. (2016) to the Turkish– Kurdish context (e.g., “I would be willing to sign a petition to improve the current situation of my ethnic group in Turkey” and “I would be willing to participate in a peaceful demonstration to improve the current conditions for my ethnic group.”). The response scale ranged from 1 (= strongly disagree) to 7 (= strongly agree), with higher scores indicating greater support for collective action on behalf of ingroup rights. The reliability of the scale was high among both Turks (α = .90) and Kurds (α = .90).",Collective action
322,Coder 2,1,gi,"Ingroup identification was measured by four items originally proposed by Verkuyten (2007) and adapted to the Turkish context by Bagci and Çelebi (2018). Participants were asked to report the extent to which they identified with and belonged to their ethnic ingroup (e.g., “I identify with my ethnic group” and “I feel connected to my ethnic group”). The response scale ranged from 1 (= strongly disagree) to 7 (= strongly agree). The reliability of the scale across the two groups was excellent (α = .92 for Turks and .88 for Kurds).",Group identificaiton
322,Coder 2,1,oa,"This was measured by the feeling thermometer developed by Esses, Haddock, and Zanna (1993), using two single items which asked participants to rate their feelings toward Turkish and Kurdish group members, ranging from 0 (= extremely unfavorable) to 100 (= extremely favorable) degrees (reported in number in a single textbox), with higher scores indicating more positive attitudes toward the group. A new variable “outgroup attitudes” was then formed by selecting the appropriate outgroup based on participants’ selfreported ethnic group.",Outgroup attitudes
324,Coder 1,1,oc,"I consider the presence of racial out-groups in one's neighborhood as potentially signaling discrimination risk. Data from the 2000 U.S. Census are used to measure the percentage of outgroups in each NC. On average, Blacks live in NCs with about 27 percent non-Black residents. Hispanics and Whites are more integrated with over 40 percent outgroup neighbors.",Opportunity for contact
324,Coder 1,1,pd,"Respondents were initially asked if they had been “treated badly or differently because of their race, ethnicity, color, language, or the country they or their family came from” in eight contexts during the past year (Earls et al., 2000). Adolescents answered yes or no regarding discrimination: 1) inside their neighborhood; 2) outside their neighborhood; 3) at school; 4) by a healthcare provider; 5) by service employees in stores or restaurants; 6) upon first meeting someone; 7) by the police; and 8) anywhere else or by anyone else.",Personal discrimination
324,Coder 1,1,pi,"Subsequently, respondents reported whether they “[worried] about being discriminated against or treated badly e regardless of whether it has actually happened”, in these same contexts during the past year (Earls et al., 2000). Unfortunately, the PHDCN only measured discrimination fear in the final wave, precluding assessment of temporality. However, these questions provide a unique opportunity to examine discrimination fear in detail for the first time.",Perceived injustice (other)
324,Coder 1,2,oc,"I consider the presence of racial out-groups in one's neighborhood as potentially signaling discrimination risk. Data from the 2000 U.S. Census are used to measure the percentage of outgroups in each NC. On average, Blacks live in NCs with about 27 percent non-Black residents. Hispanics and Whites are more integrated with over 40 percent outgroup neighbors.",Opportunity for contact
324,Coder 1,2,pd,"Respondents were initially asked if they had been “treated badly or differently because of their race, ethnicity, color, language, or the country they or their family came from” in eight contexts during the past year (Earls et al., 2000). Adolescents answered yes or no regarding discrimination: 1) inside their neighborhood; 2) outside their neighborhood; 3) at school; 4) by a healthcare provider; 5) by service employees in stores or restaurants; 6) upon first meeting someone; 7) by the police; and 8) anywhere else or by anyone else.",Personal discrimination
324,Coder 1,2,pi,"Subsequently, respondents reported whether they “[worried] about being discriminated against or treated badly e regardless of whether it has actually happened”, in these same contexts during the past year (Earls et al., 2000). Unfortunately, the PHDCN only measured discrimination fear in the final wave, precluding assessment of temporality. However, these questions provide a unique opportunity to examine discrimination fear in detail for the first time.",Perceived injustice (other)
325,Coder 1,1,cf,"Close friends. Multiracial people’s number of close friends across different racial groups was assessed with the question stem “How many of your close friends are…” with questions indicating each of the racial groups, along with “Mixed race or Multiracial.” Response options ranged from 1 (None of them) to 4 (All of them).",Cross-group friendship
325,Coder 1,1,pd,"Racial discrimination was assessed with 5-items which included the stem “For each of the following, please indicate whether or not it has happened to you because of your racial background…” and questions indicating “Been threatened or physically attacked because of your race,” “Been subject to jokes or slurs,” “Been treated unfairly by an employer in hiring, pay, promotion,” “Been unfairly stopped by police,” and “Received poor service in hotels or other places of business.” Response options were 3 (yes has happened in past 12 months), 2 (yes has happened but not in past 12 months) and 1 (no has never happened). Responses for each item were recoded and given a score of 1 if discrimination ever happened and 0 if discrimination did not happen. Scores were then summed with higher scores indicating increased amounts of discrimination. Items are reflective of those within established measures of racial discrimination, such as the Everyday Discrimination Scale, and the Major Experiences of Discrimination scale (Williams, Yu, Jackson, & Anderson, 1997; Williams et al., 2008)  Multiracial discrimination was assessed with four items. The first three items began with the stem “How often, if ever, have you experienced any of the following things because you have a racial background that includes more than one race?” and questions included “Felt like an outsider because you have a racial background that includes more than one race?,” “Felt that people are confused about your racial background,” and “Felt annoyed because someone made assumptions about your racial background.” The last question asked “As a child growing up, how often, if ever, were you teased or made fun of because you have a racial background that includes more than one race?” Response options ranged from 1 (Never) to 4 (Often). These items are reflective of those within established measures of Multiracial-specific discrimination (Salahuddin & O’Brien, 2011; Yoo et al., 2016). Items were summed and averaged, with higher scores indicating higher amounts of Multiracial discrimination. Alpha rates were high (α=83).",Personal discrimination
336,Coder 2,1,cq,One item gauged how much interracial contact respondents experienced in their everyday lives on a 1 (no contact) to 5 (frequent contact) scale.,Contact quantity
336,Coder 2,1,pc,"The remaining items measured the perceived quality of such contact on various dimensions (friendly, cooperative, helpful, intimate, interesting, and equal in status). These items were averaged to yield a Quality of Contact Index ( = .75), with higher scores indicating more positive contact experiences.",Contact quality / Positive contact
336,Coder 2,1,pd,"Measures of perceived discrimination were similar to those employed by Poore et al. (2002). To assess personal discrimination, respondents were asked: “How often do you feel that you, personally, are discriminated against because of your race?”",Personal discrimination
336,Coder 2,1,gd,"To assess group discrimination, respondents were asked: “How often do you feel that members of your race group are discriminated against in this country?” Both measures employed 5-point scales, with higher scores indicating greater perceptions of discrimination",Group discrimination
336,Coder 2,1,rd,"Respondents were asked to rate the socioeconomic circumstances of Whites and Blacks in South Africa on a 10-step “ladder,” with the first rung of the ladder representing the lowest socioeconomic status and top rung representing the highest socioeconomic status. They were also asked to indicate where on the ladder that Blacks and Whites would stand if each group had its “fair and rightful share of wealth in the country.” Relative deprivation scores for Blacks and Whites were then calculated by subtracting participants’ estimations of each group’s present standing on South Africa’s socioeconomic “ladder” from their estimations of where that group should stand in a fair society. Scores varied between −9 and +9, with high positive scores indicating a higher degree of relative deprivation and high negative scores indicating that the rated group was “overbenefiting” in socioeconomic terms.",Relative deprivation
336,Coder 2,1,pi,"As an alternative measure, we estimated respondents’ sense of comparative racial injustice, expressed in terms the magnitude and direction of the difference in the perceived relative deprivation experienced by Whites and Blacks. This measure was scaled so that higher scores indicated that Blacks were suffering comparatively more injustice that Whites.",Perceived injustice (other)
336,Coder 2,1,oa,"The racial attitudes measure tapped feelings toward Whites (i.e., hostility, suspicion, coldness, negativity) on 7-point semantic differential scales, with higher scores indicating more negative attitudes. These four items were averaged to yield a racial attitude scale ( = .74).",Outgroup attitudes
401,Coder 1,1,cq,"Intergroup contact  In order to assess the level of intergroup contact at each occasion of measurement (T1: 1996, T2: 1998, T3: 2000), participants were asked to report the approximate number of ‘peoplefromtheotherpartofGermany(EastorWestGermany,respectively)withwhom you are in contact today on the following dimensions: regular private contact, superﬁcial contact’. The two indicators of intergroup contact correlated signiﬁcantly with each other, with r = .54, p < .001 at T1, r = .60, p < .001 at T2, and r = .44, p < .001 at T3, so that we combined them to form a scale of intergroup contact at each measurement occasion. As the distribution for intergroup contact was markedly positively skewed, a log-transformation was applied. Cronbach’s alpha indicated a satisfactory internal consistency except for T3 (T1: a = .70, T2: a = .75, T3: a = .60).",Contact quantity
401,Coder 1,1,rd,"Group relative deprivation  Group relative deprivation was deﬁned as the difference between the perceived East– West difference (IS) and what would be a fair East–West difference according to individual standards of justice (OUGHT). The IS component was assessed by having respondents estimate how much better or worse the quality of life is in East Germany compared to West Germany. These assessments were made with regard to the domains oflabour(nineindicators,e.g.,chancesofbeingpromoted),prosperity(sevenindicators, e.g., amount of savings), human relations (22 indicators, e.g., being respected), housing (14 components, e.g., apartment quality), and environmental quality (seven indicators, e.g., degree of air pollution). Bipolar 7-point rating scales were used for these judgments (–3 = much worse in the East/much better in the West; +3 = much better in the East/much worse in the West). The OUGHT component was obtained by asking participants what they would consider to be a just East–West difference for each indicator of each domain. The same rating scale as for the IS component was used. The OUGHT–IS difference was computed for each component with higher scores, indicating higher relative deprivation from the perspective of East or West Germans, respectively. Cronbach’s alpha for the relative deprivation scale was .89, .82, and .81 at the three occasions of measurement, respectively.",Relative deprivation
414,Coder 2,1,cf,"To measure cross-group friendship quality, we used six items that have been previously shown to describe the quality of cross-group friendships including time spent/interaction, intimacy, positivity, self-disclosure, and support (e.g., Bagci et al., 2014; Davies, Tropp, Aron, Pettigrew, & Wright, 2011). Participants rated the extent to which they had interaction and closeness, and positive contact with non-disabled people, and the extent towhich they share secretswith each other, self-disclose to each other, and support each other on a scale ranging from 1 (never) to 5 (all the time). The scale’s reliability was high with a Cronbach’s alpha value of .89.",Cross-group friendship
414,Coder 2,1,ca,"To measure collective action tendencies,we used a four-item scale assessing participants’ motivation to engage in non-violent collective action, adapted from previous studies (Bagci&Turnuklu, under review;Cakal, Hewstone,G€uler,&Heath, 2016). Example items included the following: ‘I would bewilling to sign a petition to improve the situation of my disability group in Turkey’ and ‘I would be willing to participate in a peaceful demonstration to improve the current position of my disability group in Turkey’. The response scale ranged from 1 (strongly disagree) to 5 (strongly agree), and higher scores indicated higher motivation to act collectively. The reliability of the scale was high (Cronbach’s alpha = .86)",Collective action
