id,sample,var,variable,name,text,ic_direct,ic_quality,pi_personal,pi_specific
91,1,ic,pc,Contact quality / Positive contact,"Respondents were asked to designate the nature of their interactions with domestic students by placing a mark along a 7- point scale that best represented the nature of their interactions with US domestic students based 43 on pairs of contrasting adjectives (i.e., unpleasant/pleasant, competitive/cooperative, superficial/intimate, not equal/equal, involuntary/voluntary, negative/positive).",Directly,Yes,NA,NA
91,1,pi,pd,Personal discrimination,"The Perceived Discrimination Subscale includes eight items, and is rated on a 5-point Likert scale that ranges from 1 (strongly disagree) to 5 (strongly agree). Higher total scores indicate greater levels of perceived discrimination. One sample item is, “I am treated differently because of my race.” The coefficient alpha for the subscale was .92 among a sample of Taiwanese and Chinese international students (Wei et al., 2008) and .92 among a sample of Asian male international students (Wong et al., 2014)",NA,NA,Personal,General
93,1,ic,cq,Contact quantity,"Intergroup contact with other disadvantaged groups was measured by three items: ‘How often do you spend time with disadvantaged people at the university campus?’, ‘How often do you spend time with disadvantaged people at social activities?’, ‘How regularly do you have interactions with disadvantaged people as part of the same sports team/social club/campus society?’ (α=.88). We used the same items to measure contact with ‘high status’ Hindu group members (α=.84).",Directly,No,NA,NA
244,1,ic,ic,Intergroup contact (other),"At the end of the interview, participants completed the Developmental Intergroup Contact Survey (Crystal et al. 2008) originally adapted from a 10-item Diversity Attitudes Questionnaire (DAQ) (Kurlaender and Yun 2001). Following Crystal et al. (2008) the 10 DAQ items were subjected to a principal axis factor analysis with varimax rotation (Kaiser normalization), which yielded a primary factor, explaining 34% of the variance and consisting of six items. Those six items comprised our Intergroup Contact Scale and included: (1) How many students in your school are from racial or ethnic groups different from you own? (2) How often do you work on school projects and/or study with students from other racial/ethnic groups? (3) At school, how many friends do you have who are from a different racial or ethnic group than you? (4) Outside of school, how many friends do you have who are from a different racial or ethnic group than you? (5) In the neighborhood where you live, do you have neighbors from other racial or ethnic groups? and (6) How many of your friends from your neighborhood are from a different racial or ethnic group than you? Responses to these items ranged from one (‘‘none’’) to four (‘‘many’’), and were summed and then averaged to form the Intergroup Contact Scale, with a Cronbach’s a of .72. In order to include the Intergroup Contact Scale in more complex multivariate analyses, the scale was dichotomously split along the mean into groups of ‘‘low’’ and ‘‘high’’ intergroup contact.",Indirectly,No,NA,NA
244,1,pi,pi,Perceived injustice (other),"The Social Reasoning about Exclusion interview consisted of three short scenarios each depicting a context in which interracial exclusion might occur (Killen et al. 2007c). Extensive pilot testing was conducted on the interview scenarios in order to ensure that participants were familiar with the situations, and that the language was developmentally appropriate. The scenarios were presented in a preestablished order (see Crystal et al. 2008), with the last two contexts representing more intimate situations than those employed in earlier research (e.g., Killen et al. 2002; Killen and Stangor 2001). The scenarios were: excluding a crossrace peer from lunch at school (where a majority child does notwanttoinviteaminoritychildtohavelunchwithhim/her and another majority friend), excluding a cross-race peer froma sleepoverparty (where amajoritychild doesnotwant to invite a minority child to a sleepover), and excluding a cross-race peer from a high school dance (where a majority student does not want to invite a minority student from anotherschooltoaschooldanceasadate).Inordertocapture the historical dimension of racial exclusion in the United States, all three scenarios involved a European American child excluding an African American child. Brown (2008) reported that in a racially and ethnically diverse sample, US children often gave examples of discrimination directed towards African American children, when presented with open-ended questions about discrimination. In addition, she noted that these same children also gave examples of racial discrimination from a historical perspective, providing further support for our use of situations involving a EuropeanAmerican child excluding an African American child. After the presentation of each of the three scenarios participants responded to a series of assessments (1) Wrongfulness of race-based exclusion (How good or bad is it to exclude someone on the basis of their race?); (2) Stereotype assessment (What is it about race that makes people uncomfortable?); (3) Estimations of the frequency of race-based exclusion among peers (How often do you think children your age might not invite someone to lunch because they are a different race?); and (4) Bystander Response (What do you think a bystander child should do about race-based exclusion?). Responses to the wrongfulness ratings ranged from 1 (‘‘very,verygood’’)to8(‘‘very,verybad’’).Responsestothe assessment about stereotypes were coded as (a) Afﬁrming stereotypes (afﬁrming or endorsing stereotypes); (b) Stereotyperecognition(recognizingpeopleusestereotypes);and(c) Social contexts of stereotypes (awareness of social factors andhistoricalcircumstancescontributingtothemanifestation ofstereotypes);and(d) Don’tknowornoresponse.Interrater agreement calculated as Cohen’s kappa coefﬁcient = .90. Responsestofrequencyestimations rangedfrom 1 (‘‘never’’) to5(‘‘always).Participants’responses tothe questionofhow abystandershoulddealwithrace-basedexclusionwerecoded as: (a) Focus on the excluder (e.g., ‘‘he should tell them that just because kids are different races doesn’t mean they have different interests’’); (b) Focus on the excluded (e.g., ‘‘she shouldtelltheBlackgirlthatshewillbeherfriendevenifthe other girl won’t’’); (c) Focus on both (e.g., ‘‘I would talk to both of them and see if I could bring them together’’); and (d) Not know what to do (e.g., ‘‘I wouldn’t know what to do’’). Interrater agreement by two independent raters calculated as Cohen’s kappa coefﬁcient = .99.",NA,NA,Group,Specific
284,1,ic,cf,Cross-group friendship,"To measure intergroup contact, we adapted three items from Swart (2007) to assess positive outgroup contact ( = .84). Participants reported the amount of contact they have at university, in social activities, and in their homes or university residences (whichever is relevant; e.g., ‘How often do you visit your White friends in their home?’).",Directly,Yes,NA,NA
284,1,pi,rd,Relative deprivation,"Relative deprivation was measured by two items adapted from Leach, Iyer, and Pedersen (2007): ‘Blacks are economically disadvantaged compared to Whites’ and ‘Blacks are socially disadvantaged compared to Whites’ (r = .60 p < .000).",NA,NA,Group,General
286,1,ic,cf,Cross-group friendship,"To assess the quality of contact between Turks and Kurds, three items were adapted from Glasford and Calcagno (2012): “Some of my closest friends are Turks/Kurds,” “I feel very close to my Turkish/Kurdish friends,” and “Most of my experiences with Turks/Kurds are positive” (.78).",Directly,Yes,NA,NA
303,1,ic,cf,Cross-group friendship,"Previous friendships  and attitudes about engaging in close friendships in the future were measured with  questions like, “How often have you pursued close friendships in the past with...” and  “How likely are you to pursue a close friendship in the future with...” with possible  answers of: 1 (not very) to 4 (very).",Directly,Yes,NA,NA
303,1,pi,pd,Personal discrimination,"Discrimination. Discrimination experiences were measured using the short-form  scale of the Daily Racial Microaggressions (DRM; Mercer, Ziegler-Hill, Wallace, &  Hayes, 2010). This 14-item self-report survey was found to meaningfully correlate with  other race-/ethnicity-related scales. Overall microaggression experiences, two constructs  (microinsults and microinvalidations), and seven individual factors are measured. The  items are scored on a 1 to 5 Likert-type scale, where: 1 = never happened to me, 2 =  happened to me, but I was not upset, 3 = happened to me and I was slightly upset, 4 =  happened to me and I was moderately upset, and 5 = happened to me and I was extremely  upset. The DRM can be scored dichotomously (are experiences reported: 1= no, or 2-5 =  yes) or continuously (how upset by experiences: 1-5) with internal consistencies that were  reported by scale developers at α = .95 and .94, respectively. Reliability in the extant  dataset was scored continuously with a Cronbach’s alpha of .87 for the total score.",NA,NA,Personal,Specific
322,1,ic,pc,Contact quality / Positive contact,"Positive and negative contact were each assessed by a single item (Barlow, Paolini, et al., 2012). Participants were first given a specific instruction asking them to consider their Turkish peers if they were Kurdish or their Kurdish peers if they were Turkish (“If you are Turkish, please think about your Kurdish peers” and “If you are Kurdish, please think about your Turkish peers”). Next, they were asked to report the extent to which they had positive and negative contact with these peers (“How frequently do you have positive/ negative contact with these peers?”). The response scale ranged from 1 (= never) to 7 (= all the time).",Directly,Yes,NA,NA
322,1,pi,pd,Personal discrimination,"We assessed the level of perceived discrimination by two items previously used by Tropp et al. (2012). One of the items measured perceived discrimination at the individual level (“To what extent do you feel you are personally discriminated because of your ethnic background?”), and the other item assessed perceived discrimination at the group level (“To what extent do you feel your ingroup members are discriminated because of their ethnic background?”). The response scale ranged from 1 (= never) to 7 (= all the time). The reliability of the scales was good for both groups (α = .87 for Turks and .79 for Kurds).",NA,NA,Both,General
322,1,pi,rd,Relative deprivation,"Relative deprivation was measured by two items assessing how much participants felt that their ethnic group was relatively deprived compared to the outgroup. Participants were first given a specific instruction about which group they needed to compare themselves (“If you are Turkish, compared to Kurds. . .; If you are Kurdish, compared to Turks. . .”). The instruction was followed by two items: “To what extent your ethnic group is economically advantaged?” and “To what extent your ethnic group is socially advantaged?” (adapted from Cakal et al., 2011). The response scale ranged from 1 (= very disadvantaged) to 7 (= very advantaged). Both items were reverse-coded so that higher scores indicated higher levels of relative deprivation. Reliabilities assessed by Cronbach’s α coefficients demonstrated acceptable reliability scores across the two groups (α = .68 and .71 for Turks and Kurds, respectively).",NA,NA,Group,General
324,1,ic,oc,Opportunity for contact,"I consider the presence of racial out-groups in one's neighborhood as potentially signaling discrimination risk. Data from the 2000 U.S. Census are used to measure the percentage of outgroups in each NC. On average, Blacks live in NCs with about 27 percent non-Black residents. Hispanics and Whites are more integrated with over 40 percent outgroup neighbors.",Indirectly,No,NA,NA
324,1,pi,pd,Personal discrimination,"Respondents were initially asked if they had been “treated badly or differently because of their race, ethnicity, color, language, or the country they or their family came from” in eight contexts during the past year (Earls et al., 2000). Adolescents answered yes or no regarding discrimination: 1) inside their neighborhood; 2) outside their neighborhood; 3) at school; 4) by a healthcare provider; 5) by service employees in stores or restaurants; 6) upon first meeting someone; 7) by the police; and 8) anywhere else or by anyone else.",NA,NA,Personal,General
324,2,ic,oc,Opportunity for contact,"I consider the presence of racial out-groups in one's neighborhood as potentially signaling discrimination risk. Data from the 2000 U.S. Census are used to measure the percentage of outgroups in each NC. On average, Blacks live in NCs with about 27 percent non-Black residents. Hispanics and Whites are more integrated with over 40 percent outgroup neighbors.",Indirectly,No,NA,NA
324,2,pi,pd,Personal discrimination,"Respondents were initially asked if they had been “treated badly or differently because of their race, ethnicity, color, language, or the country they or their family came from” in eight contexts during the past year (Earls et al., 2000). Adolescents answered yes or no regarding discrimination: 1) inside their neighborhood; 2) outside their neighborhood; 3) at school; 4) by a healthcare provider; 5) by service employees in stores or restaurants; 6) upon first meeting someone; 7) by the police; and 8) anywhere else or by anyone else.",NA,NA,Personal,General
325,1,ic,cf,Cross-group friendship,"Close friends. Multiracial people’s number of close friends across different racial groups was assessed with the question stem “How many of your close friends are…” with questions indicating each of the racial groups, along with “Mixed race or Multiracial.” Response options ranged from 1 (None of them) to 4 (All of them).",Directly,Yes,NA,NA
325,1,pi,pd,Personal discrimination,"Racial discrimination was assessed with 5-items which included the stem “For each of the following, please indicate whether or not it has happened to you because of your racial background…” and questions indicating “Been threatened or physically attacked because of your race,” “Been subject to jokes or slurs,” “Been treated unfairly by an employer in hiring, pay, promotion,” “Been unfairly stopped by police,” and “Received poor service in hotels or other places of business.” Response options were 3 (yes has happened in past 12 months), 2 (yes has happened but not in past 12 months) and 1 (no has never happened). Responses for each item were recoded and given a score of 1 if discrimination ever happened and 0 if discrimination did not happen. Scores were then summed with higher scores indicating increased amounts of discrimination. Items are reflective of those within established measures of racial discrimination, such as the Everyday Discrimination Scale, and the Major Experiences of Discrimination scale (Williams, Yu, Jackson, & Anderson, 1997; Williams et al., 2008)  Multiracial discrimination was assessed with four items. The first three items began with the stem “How often, if ever, have you experienced any of the following things because you have a racial background that includes more than one race?” and questions included “Felt like an outsider because you have a racial background that includes more than one race?,” “Felt that people are confused about your racial background,” and “Felt annoyed because someone made assumptions about your racial background.” The last question asked “As a child growing up, how often, if ever, were you teased or made fun of because you have a racial background that includes more than one race?” Response options ranged from 1 (Never) to 4 (Often). These items are reflective of those within established measures of Multiracial-specific discrimination (Salahuddin & O’Brien, 2011; Yoo et al., 2016). Items were summed and averaged, with higher scores indicating higher amounts of Multiracial discrimination. Alpha rates were high (α=83).",NA,NA,Personal,Specific
336,1,ic,cq,Contact quantity,One item gauged how much interracial contact respondents experienced in their everyday lives on a 1 (no contact) to 5 (frequent contact) scale.,Directly,No,NA,NA
336,1,ic,pc,Contact quality / Positive contact,"The remaining items measured the perceived quality of such contact on various dimensions (friendly, cooperative, helpful, intimate, interesting, and equal in status). These items were averaged to yield a Quality of Contact Index ( = .75), with higher scores indicating more positive contact experiences.",Directly,Yes,NA,NA
336,1,pi,gd,Group discrimination,"To assess group discrimination, respondents were asked: “How often do you feel that members of your race group are discriminated against in this country?” Both measures employed 5-point scales, with higher scores indicating greater perceptions of discrimination",NA,NA,Group,General
336,1,pi,pd,Personal discrimination,"Measures of perceived discrimination were similar to those employed by Poore et al. (2002). To assess personal discrimination, respondents were asked: “How often do you feel that you, personally, are discriminated against because of your race?”",NA,NA,Personal,General
336,1,pi,pi,Perceived injustice (other),"As an alternative measure, we estimated respondents’ sense of comparative racial injustice, expressed in terms the magnitude and direction of the difference in the perceived relative deprivation experienced by Whites and Blacks. This measure was scaled so that higher scores indicated that Blacks were suffering comparatively more injustice that Whites.",NA,NA,Group,General
336,1,pi,rd,Relative deprivation,"Respondents were asked to rate the socioeconomic circumstances of Whites and Blacks in South Africa on a 10-step “ladder,” with the first rung of the ladder representing the lowest socioeconomic status and top rung representing the highest socioeconomic status. They were also asked to indicate where on the ladder that Blacks and Whites would stand if each group had its “fair and rightful share of wealth in the country.” Relative deprivation scores for Blacks and Whites were then calculated by subtracting participants’ estimations of each group’s present standing on South Africa’s socioeconomic “ladder” from their estimations of where that group should stand in a fair society. Scores varied between −9 and +9, with high positive scores indicating a higher degree of relative deprivation and high negative scores indicating that the rated group was “overbenefiting” in socioeconomic terms.",NA,NA,Group,General
401,1,ic,cq,Contact quantity,"Intergroup contact  In order to assess the level of intergroup contact at each occasion of measurement (T1: 1996, T2: 1998, T3: 2000), participants were asked to report the approximate number of ‘peoplefromtheotherpartofGermany(EastorWestGermany,respectively)withwhom you are in contact today on the following dimensions: regular private contact, superﬁcial contact’. The two indicators of intergroup contact correlated signiﬁcantly with each other, with r = .54, p < .001 at T1, r = .60, p < .001 at T2, and r = .44, p < .001 at T3, so that we combined them to form a scale of intergroup contact at each measurement occasion. As the distribution for intergroup contact was markedly positively skewed, a log-transformation was applied. Cronbach’s alpha indicated a satisfactory internal consistency except for T3 (T1: a = .70, T2: a = .75, T3: a = .60).",Directly,No,NA,NA
401,1,pi,rd,Relative deprivation,"Group relative deprivation  Group relative deprivation was deﬁned as the difference between the perceived East– West difference (IS) and what would be a fair East–West difference according to individual standards of justice (OUGHT). The IS component was assessed by having respondents estimate how much better or worse the quality of life is in East Germany compared to West Germany. These assessments were made with regard to the domains oflabour(nineindicators,e.g.,chancesofbeingpromoted),prosperity(sevenindicators, e.g., amount of savings), human relations (22 indicators, e.g., being respected), housing (14 components, e.g., apartment quality), and environmental quality (seven indicators, e.g., degree of air pollution). Bipolar 7-point rating scales were used for these judgments (–3 = much worse in the East/much better in the West; +3 = much better in the East/much worse in the West). The OUGHT component was obtained by asking participants what they would consider to be a just East–West difference for each indicator of each domain. The same rating scale as for the IS component was used. The OUGHT–IS difference was computed for each component with higher scores, indicating higher relative deprivation from the perspective of East or West Germans, respectively. Cronbach’s alpha for the relative deprivation scale was .89, .82, and .81 at the three occasions of measurement, respectively.",NA,NA,Group,Specific
414,1,ic,cf,Cross-group friendship,"To measure cross-group friendship quality, we used six items that have been previously shown to describe the quality of cross-group friendships including time spent/interaction, intimacy, positivity, self-disclosure, and support (e.g., Bagci et al., 2014; Davies, Tropp, Aron, Pettigrew, & Wright, 2011). Participants rated the extent to which they had interaction and closeness, and positive contact with non-disabled people, and the extent towhich they share secretswith each other, self-disclose to each other, and support each other on a scale ranging from 1 (never) to 5 (all the time). The scale’s reliability was high with a Cronbach’s alpha value of .89.",Directly,Yes,NA,NA
423,1,ic,cq,Contact quantity,"More important, we also added previous contact with British people as a covariate, using a single item: “Generally speaking, in your everyday life how much contact do you have with British people?”; measured from 1 (not at all) to 7 (a lot).",Directly,No,NA,NA
423,1,pi,gd,Group discrimination,"Perceived discrimination. Perceived discrimination was measured by a four-item scale previously used by Verkuyten and Yildiz (2006). Example items were: “Discrimination against minorities has increased in recent times” and “In general, minorities are treated unequally in British society.” The scale had good reliability (.87).",NA,NA,Group,General
423,2,ic,cq,Contact quantity,We further included previous contact ... (see Study 1) as covariates,Directly,No,NA,NA
423,2,pi,gd,Group discrimination,"Perceived discrimination was measured by four items and assessed the extent to which participants felt discrimination in the society (see Study 1, .93).",NA,NA,Group,General
423,3,ic,cq,Contact quantity,"As in Study 2, language proficiency, direct contact, and interest in task were used as covariates.",Directly,No,NA,NA
423,3,pi,gd,Group discrimination,The same measures as in Study 2 were used. The reliabilities for the main scales were satisfactory (’s ranging between .73 and .91).,NA,NA,Group,General
480,1,ic,pc,Contact quality / Positive contact,"The measurement of contact experiences interethnic was carried out on the basis of the Scale of Contact developed by van Dick and Wagner (1995) and some items developed especially for the context Costa Rican. The scale is composed of nine items, six of them access the contact frequency interethnic in various areas of the daily life of young people (e.g., in the neighborhood, at school, in the circle of friends), while the remaining three ask about the general frequency of inter-ethnic contact, intensity and the importance attributed to this type of contact (e.g., How important is it for you to have contact with people from other ethnic groups?). As mentioned Previously, this scale has a response range of 1 (not frequent / intense / important) to 4 (very frequent / intense / important). The Cronbach alphas of the scale are .83 and .86 for the Afro-Costa Rican and mestizo group respectively",Indirectly,No,NA,NA
480,1,pi,pd,Personal discrimination,Four items were designed to measure the perception of the ethnic discrimination They ask young people if they have felt discriminated against because they belong to the ethnic group that they belong and how likely their lives are to look limited by belonging to the ethnic group to which they belong (e.g. “Do you think that belonging to your ethnic group will Can you prevent getting a good job? ”). The four items they form a Perceived Discrimination Scale with Alphas of Cronbach of 0.80 for the Afro-Costa Rican group and 0.76 for the white / mestizo group.,NA,NA,Personal,Specific
609,1,ic,cf,Cross-group friendship,"Intercultural contact with Hong Kong people was measured by evaluating the quantity of Hong Kongfriends (i.e., “How many Hong Kong friends do you have?”) and the frequency of contact with Hong Kong friends (i.e., “Howoften do you meet with your Hong Kong friends?”). The responses to the two items were indicated on two 5-point scalesranging from none (1) to many (5), and never (1) to daily (5), respectively. Then the scores of quantity and frequency itemswere averaged (˛ = .80).",Directly,Yes,NA,NA
609,1,pi,pd,Personal discrimination,"The 5-item Perceived Discrimination Scale (Berry et al., 2006) was used for Mainland Chineseimmigrants only, assessing perceived frequency of feeling unaccepted, being treated unfairly or negatively or being teased,and so on, because of one’s ethnicity (e.g., “I have been teased or insulted because of my Mainland Chinese immigrantbackground”). Participants responded on a 5-point scale ranging strongly disagree (1) to strongly agree (5) (˛ = .84).",NA,NA,Personal,Specific
703,1,ic,cf,Cross-group friendship,"Social contacts questionnaire (Rowley, 1999). This scale examined the number of African American and European American peers the child had. It was adapted from a similar scale by Wegner and Shelton (1995). This 10-item scale asked students to use a 4-point scale (a  0,b 1–2,c 3–4,d 5 or more) to indicate how many Black or White friends they have. An example item is, “How many close Black/White friends do you have?” The average of the 5 items related to Black friends was computed to create the Black friends score, and the average of the 5 items related to White friends was computed to create the White friends score",Directly,Yes,NA,NA
703,1,pi,pi,Perceived injustice (other),"Racial stories task (Johnson, 1996). Expectations for crossrace social interactions (social expectations) were examined with the Racial Stories Task (Johnson, 1996). Four vignettes were read to the participants to assess their expectations for cross-race social situations involving European American teachers, peers, and school administrators. Each vignette consisted of a story with a child of the same age, race, and sex as the participant. In each case, the main character of the story was about to interact with European Americans. The participant was asked to imagine what would happen and to give a possible reason for that outcome. The first vignette described an African American child in a class with all European American students and a European American teacher. Participants reported whom they thought the teacher would call on if the African American child and a European American child both had their hands up, and why. The second vignette involved an African American child wanting to sit at a table of European American children. The participant was asked how the EuropeanAmericanchildrenwouldrespondtohisorherrequestto sit down, and why. The third vignette involved a kickball game. The participant was supposed to imagine whether the African American main character, who was good at kickball, would be chosen on a team that was all European American, and why. The fourth vignette involved two children in a fight, one who was African American and one who was European American. They both went to the principal’s office, and the participant must imagine which of the two the principal would believe and which child would get punished, and why (both responses were included in composite calculations). Children’s responses to these vignettes were audiotaped and transcribed for coding. A single individual coded third- and fifthgrade transcripts, and a second individual coded 10% of the interviews to achieve reliability. Interviews were coded on several dimensions, but analyses for the current study focused on three scores: (a) the proportion of times that the participant reported that a negative outcome (e.g., that the teacher would call on the White student) would occur; (b) the proportion of times that the participant reported that a positive outcome (e.g., that the children would invite the Black student to sit with them) would occur; and (c) the proportionoftimesthattheparticipantexpectedthemaincharacterto be discriminated against. We defined discrimination expectations as the case where the participant offered a negative and racial reason for an outcome (e.g., that the teacher would call on the White student becauseWhiteteachersthinkBlackstudentsarenotsmart).Toderive these scores, we divided the number of times that the participant gave the relevant response to the vignettes by 5, the total number of vignettes. The result is a proportion ranging from 0 (i.e., expectations of discrimination for none of the vignettes) to 1 (i.e., expectations of discrimination in all of the vignettes). Intraclass correlations for composite variables ranged from .89 to 1.0.",NA,NA,Group,Specific
733,1,ic,ic,Intergroup contact (other),"Two items relating to the quantity of contact asked about contact with conationals living in Britain and about contact with host nationals (1 = Not at all,5= Very much). Two further items relating to the quality of contact asked about contact with conationals and host nationals (1 = Not at all, 5 = Very much). A principal components factor analysis (Varimax rotation with Kaiser normalisation) of these four items revealed two independent factors accounting for 90.65% of the variance. The ﬁrst factor referred to contact (quantity and quality of contact) with conationals, and accounted for 48.44% of the explained variance. The second factor referred to the quantity and quality of contact with host nationals, and accounted for 42.21% of the explained variance. Factor scores were created for each participant by averaging the scores of items associated with each factor, and were used in all subsequent analysis as scores of contact with conationals (a = 0.95) and host nationals (a = 0.81).",Directly,No,NA,NA
733,1,pi,pd,Personal discrimination,"Perceived discrimination was assessed with six items concerning the frequency of being treated negatively due to participants’ nationality. These items were rated on a 4-point scale (1 = Never,4= Almost always) and averaged scores showed good reliability (a = 0.79).",NA,NA,Personal,Specific
783,1,ic,cq,Contact quantity,"For measuring native contacts, respondents were asked to indicate on a seven-point scale ranging from “never” to “daily,” how often they had contact with natives in their neighborhood.1 1The questions on social contact in this survey asked how often respondents had contact with natives, in their neighborhood, at work and at social clubs. Because many respondents were not employed (about 40 percent) and were not a member of any social club (about 60 percent), we focus on the neighborhood contacts.",Directly,No,NA,NA
783,1,pi,pd,Personal discrimination,"Perceived discrimination was measured by asking respondents to indicate, on a three-point scale (i.e., never, sometimes, often), if they had been discriminated against in job applications, at work, at school, on the street, in associations/clubs they were members of, and while going out (nightlife). We took the average of these items that formed a reliable scale (Cronbach’s a = .81).",NA,NA,Personal,Specific
783,2,ic,cq,Contact quantity,"For measuring native contacts, respondents were asked to indicate on a seven-point scale ranging from “never” to “daily,” how often they had contact with natives in their neighborhood.1 1The questions on social contact in this survey asked how often respondents had contact with natives, in their neighborhood, at work and at social clubs. Because many respondents were not employed (about 40 percent) and were not a member of any social club (about 60 percent), we focus on the neighborhood contacts.",Directly,No,NA,NA
783,2,pi,pd,Personal discrimination,"Perceived discrimination was measured by asking respondents to indicate, on a three-point scale (i.e., never, sometimes, often), if they had been discriminated against in job applications, at work, at school, on the street, in associations/clubs they were members of, and while going out (nightlife). We took the average of these items that formed a reliable scale (Cronbach’s a = .81).",NA,NA,Personal,Specific
