id,sample,country,region,continent,ingroup,outgroup,study_setting,study_sample,age,study_design,study_intention,cultural_distance_to_usa,political_distance_to_usa,political_participation_distance_to_usa,group_membership_distance_to_usa,publication_status
783,1,Netherlands,Europe & Central Asia,Europe,Moroccan immigrants,Dutch natives,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0.0822372379688003,0.0514121415927126,0.0603390568121052,0.0341913174333371,published
783,2,Netherlands,Europe & Central Asia,Europe,Turkish immigrants,Dutch natives,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0.0822372379688003,0.0514121415927126,0.0603390568121052,0.0341913174333371,published
789,1,Israel,Middle East & North Africa,Asia,Palestinians,Jews,Colonization,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)",quasi-experimental (no random assignment),Yes,"NA","NA","NA","NA",published
803,1,USA,North America,North America,Mexican Americans,Anglo/White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
813,1,USA,North America,North America,Minimal disadvantaged group,Minimal advantaged group,Other,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)",experimental (random assignment),Yes,0,0,0,0,published
813,2,Israel,Middle East & North Africa,Asia,Arab Israelis,Jewish Israelis,Colonization,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,"NA","NA","NA","NA",published
823,1,USA,North America,North America,International students,Domestic students,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,published
829,1,"Finland,France,Germany,Netherlands,Norway,Sweden",Mixed,Mixed,Turkish adolescents,Native Europeans,Long-term migration,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,"0.0740076303872321,0.0835579524630415,0.0789551316831658,0.0822372379688003,0.120088348955552,0.108898943947004","0.0741312790289867,0.0685529867572972,0.0664975463522096,0.0514121415927126,0.110608527022266,0.0967717099864005","0.0776737018256955,0.0409397862693129,0.0629091140634312,0.0603390568121052,0.0170131267761095,0.0548547269505727","0.0289764040176874,0.0558593216898047,0.0218813762372545,0.0341913174333371,0.0735337063833623,0.060907567791121",published
830,1,USA,North America,North America,Korean American adolescents,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
830,2,USA,North America,North America,Vietnamese American adolescents,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
830,3,USA,North America,North America,Cambodian American adolescents,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
856,1,Macedonia,Europe & Central Asia,Europe,Roma,Macedonians,Other,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",Yes,"NA","NA","NA","NA",published
893,1,UK,Europe & Central Asia,Europe,Catholics,Protestants,Religion,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
894,1,USA,North America,North America,Chicano/Latinx/Mexican Americans,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
894,2,USA,North America,North America,African Americans,White Americans,Slavery,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
933,1,USA,North America,North America,Black Americans,White Americans,Slavery,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
956,1,UK,Europe & Central Asia,Europe,Sexual-minority students,Heterosexual people,Sexuality,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
956,2,"Germany,UK",Mixed,Mixed,Sexual-minority students,Heterosexual/cisgender people,Sexuality,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, longitudinal",Yes,"0.0789551316831658,0.0557371621858993","0.0664975463522096,0.0549427156231625","0.0629091140634312,0.0154687741524952","0.0218813762372545,0.0351843431994042",published
1020,1,UK,Europe & Central Asia,Europe,Malaysian (Malay) students,British people,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
1020,2,UK,Europe & Central Asia,Europe,Malaysian (Chinese) students,British people,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
1042,1,USA,North America,North America,Asian Americans,European Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
1042,2,USA,North America,North America,African Americans,European Americans,Slavery,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
1045,1,USA,North America,North America,Ethnic minorities,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,published
1114,1,Lebanon,Middle East & North Africa,Asia,Syrian refugees,Lebanese people,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.106670630725266,0.116752413554119,0.386915457376714,0.247146974733227,published
1161,1,USA,North America,North America,Mexican Americans,White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
1163,1,USA,North America,North America,African Americans,White Americans,Slavery,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
1221,1,USA,North America,North America,Hispanic Americans,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1221,2,USA,North America,North America,Black Americans,White Americans,Slavery,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1221,3,USA,North America,North America,Native Americans,White Americans,Colonization,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1221,4,USA,North America,North America,Asian Americans,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1248,1,Turkey,Europe & Central Asia,Asia,Kurds,Turks,Colonization,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
1283,1,UK,Europe & Central Asia,Europe,"Black, Asian, and other ethnic minorities",White people,Long-term migration,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
1376,1,UK,Europe & Central Asia,Europe,Catholics,Protestants,Religion,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
1386,1,South Africa,Sub-Saharan Africa,Africa,Black South Africans,White South Africans,Colonization,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0775239756055437,0.0786389668446095,0.242407668227345,0.0650781400376889,published
1395,1,Hong Kong,East Asia & Pacific,Asia,International students in Hong Kong,Domestic students,Short-term migration,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",No,0.0979239647188102,0.0849829180794357,0.15086534296655,0.110575717315254,published
1407,1,USA,North America,North America,African Americans,White Americans,Slavery,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
1407,2,USA,North America,North America,Black Caribbean Americans,White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
1411,1,Indonesia,East Asia & Pacific,Asia,Christians,Muslims,Religion,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0.190264347673463,0.209673193220681,0.562852939037565,0.143249865036159,published
1412,1,Denmark,Europe & Central Asia,Europe,Ethnic minorities,Danes,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,"NA","NA","NA","NA",published
1494,1,USA,North America,North America,African Americans,White Americans,Slavery,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1494,2,USA,North America,North America,Hispanic Americans,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1494,3,USA,North America,North America,African Americans,White Americans,Slavery,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1494,4,USA,North America,North America,Hispanic Americans,White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1525,1,USA,North America,North America,Asian Americans,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
1549,1,USA,North America,North America,Black Americans,White Americans,Slavery,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
1576,1,USA,North America,North America,Chinese Americans,White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
1614,1,Turkey,Europe & Central Asia,Asia,Kurds,Turks,Colonization,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
1658,1,USA,North America,North America,Black Americans,White Americans,Slavery,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,published
1658,2,USA,North America,North America,Mexican immigrants,White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,published
1658,3,USA,North America,North America,Indian immigrants,White Americans,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,published
1695,1,New Zealand,East Asia & Pacific,Oceania,Māori New Zealanders,White New Zealanders,Colonization,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0541673331886272,0.0543208653781205,0.0424378544921463,0.0648045909947234,published
1743,1,USA,North America,North America,African Americans,White Americans,Slavery,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, longitudinal",Yes,0,0,0,0,published
1743,2,USA,North America,North America,Latino Americans,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, longitudinal",Yes,0,0,0,0,published
1743,3,USA,North America,North America,Asian Americans,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, longitudinal",Yes,0,0,0,0,published
1762,1,Canada,North America,North America,Inuit Canadians,White Canadians,Colonization,"convenience sample, non-students (no random sampling)","Adolescents
(13 - 18 years),Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0249903699091967,0.0261478632783305,0.00503791012665487,0.0257082208054689,published
1807,1,Netherlands,Europe & Central Asia,Europe,"Refugees from Afghanistan, Iran, Iraq and Somalia",Dutch natives,Long-term migration,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0822372379688003,0.0514121415927126,0.0603390568121052,0.0341913174333371,published
1850,1,Russia,Europe & Central Asia,Europe,Immigrants,Russians,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0919652266190042,0.100085749598954,0.438665692101446,0.0993774119573062,unpublished dissertation
1891,1,USA,North America,North America,Arab and Muslim Americans,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,unpublished dissertation
1914,1,Argentina,Latin America & Caribbean,South America,Foreign students,Locals,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0722195922138506,0.0689400648957619,0.234895327279662,0.0592007398979936,published
1949,1,Germany,Europe & Central Asia,Europe,Refugees,Germans,Long-term migration,"convenience sample, non-students (no random sampling)","Adolescents
(13 - 18 years),Adults
(â‰¥ 18 years)","observational, cross-sectional",No,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
1966,1,Germany,Europe & Central Asia,Europe,Ethnic German immigrants from the former Soviet Union,Germans,Long-term migration,"convenience sample, non-students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
1966,2,Israel,Middle East & North Africa,Asia,Russian Jewish immigrants,Israeli Jews,Long-term migration,"convenience sample, non-students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,"NA","NA","NA","NA",published
1993,1,Singapore,East Asia & Pacific,Asia,Chinese migrants workers,Singaporeans,Short-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0331007342408471,0.0435709147716596,"NA",0.0635398875539966,published
2001,1,USA,North America,North America,Black American women,White Americans,Slavery,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
2023,1,UK,Europe & Central Asia,Europe,South Asians in Britain,British Whites,Long-term migration,"convenience sample, students (no random sampling)","Children
(â‰¤ 12 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,unpublished dissertation
2023,2,UK,Europe & Central Asia,Europe,Black Britsh people,White British people,Long-term migration,"convenience sample, students (no random sampling)","Children
(â‰¤ 12 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,unpublished dissertation
2033,1,Canada,North America,North America,First-generation Canadians,Native Canadians,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)",experimental (random assignment),Yes,0.0249903699091967,0.0261478632783305,0.00503791012665487,0.0257082208054689,published
2075,1,Canada,North America,North America,Students from a lower-status university,Students from a higher-status university,Other,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)",experimental (random assignment),Yes,0.0249903699091967,0.0261478632783305,0.00503791012665487,0.0257082208054689,published
2257,1,Turkey,Europe & Central Asia,Asia,Disabled people,Non-disabled people,Other,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
2309,1,USA,North America,North America,Black Americans,White Americans,Slavery,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
2309,2,USA,North America,North America,Hispanic Americans,White Americans,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
2333,1,USA,North America,North America,Non-White Americans,White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
2341,1,Finland,Europe & Central Asia,Europe,Re-migrants from Russia to Finland,Finnish natives,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0740076303872321,0.0741312790289867,0.0776737018256955,0.0289764040176874,published
2375,1,USA,North America,North America,Latino Americans,Anglo/White Americans,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
2380,1,India,South Asia,Asia,Scheduled Caste/Scheduled Tribe (Dalits/Adivasi),General Castes,Caste,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2380,2,India,South Asia,Asia,Other Backward Class,General Castes,Caste,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2381,1,New Zealand,East Asia & Pacific,Oceania,NZ Maori,NZ European,Colonization,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, longitudinal",No,0.0541673331886272,0.0543208653781205,0.0424378544921463,0.0648045909947234,unpublished
2381,2,New Zealand,East Asia & Pacific,Oceania,Pacific Islanders,NZ European,Long-term migration,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, longitudinal",No,0.0541673331886272,0.0543208653781205,0.0424378544921463,0.0648045909947234,unpublished
2381,3,New Zealand,East Asia & Pacific,Oceania,Asians,NZ European,Long-term migration,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, longitudinal",No,0.0541673331886272,0.0543208653781205,0.0424378544921463,0.0648045909947234,unpublished
2382,1,UK,Europe & Central Asia,Europe,Asian British people,White British people,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years),Adults
(â‰¥ 18 years)","observational, longitudinal",Yes,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,unpublished
2383,1,UK,Europe & Central Asia,Europe,Asian British secondary-school students,White British people,Long-term migration,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,unpublished
2383,2,UK,Europe & Central Asia,Europe,Black British secondary-school students,White British people,Long-term migration,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,unpublished
2383,3,UK,Europe & Central Asia,Europe,Mixed secondary-school students,White British people,Other,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,unpublished
2385,1,India,South Asia,Asia,Muslims,Hindus,Religion,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2385,2,India,South Asia,Asia,Sikhs,Hindus,Religion,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2385,3,India,South Asia,Asia,Christians,Hindus,Religion,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2385,4,India,South Asia,Asia,Buddhists,Hindus,Religion,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2391,1,Italy,Europe & Central Asia,Europe,African immigrants in Italy,Italian native people,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, longitudinal",Yes,0.0617256435632142,0.0553297298740493,0.0424087774135186,0.0270415582362963,unpublished
2392,1,India,South Asia,Asia,Intermediate Caste individuals,Upper caste individuals,Caste,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2392,2,India,South Asia,Asia,OBC (Other Backward Classes),Upper Castes,Caste,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2392,3,India,South Asia,Asia,SC/ST (Scheduled castes and scheduled tribes),Upper Castes,Caste,probability or representative sample,"Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,unpublished
2394,1,USA,North America,North America,Asian Americans,White Americans,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished
2394,2,USA,North America,North America,Black Americans,White Americans,Slavery,"convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished
3000,1,Hong Kong,East Asia & Pacific,Asia,Mainland Chinese students,Local students,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0979239647188102,0.0849829180794357,0.15086534296655,0.110575717315254,published
3005,1,Norway,Europe & Central Asia,Europe,Kurdish university students in Norway,Native Norwegians,Long-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.120088348955552,0.110608527022266,0.0170131267761095,0.0735337063833623,published
3051,1,Denmark,Europe & Central Asia,Europe,Non-Western immigrants,Danes,Long-term migration,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,"NA","NA","NA","NA",published
3054,1,"Chile, Germany, Kosovo, Poland, Serbia, Spain, Switzerland, UK, USA","Latin America & Caribbean, Europe & Central Asia, North America","South America, Europe, North America","Mapuche, Peruvians, Muslims, Serbs, Ukranians, Bosniaks, Roma, Asian people","Non-Indigenous, Chileans, Non-Muslims, Albanians, Polish, Serbs, Non-Roma, White people","Colonization, Long-term migration, Religion, Other","convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,"0.0800639752673544, 0.0789551316831658, NA, 0.0790668206288022, 0.0782036728387198, 0.0636546745734697, 0.0557371621858993, 0","0.0777284371171846, 0.0664975463522096, NA, 0.0780406297501256, 0.0687634198308578, 0.0646386470974525, 0.0549427156231625, 0","0.320950847505054, 0.0629091140634312, NA, 0.244216603608822, 0.180384219869615, 0.0155588103416636, 0.0154687741524952, 0","0.0619713718631271, 0.0218813762372545, NA, 0.0552141782215148, 0.0412969750491968, 0.0438921110380529, 0.0351843431994042, 0",published
