id,coder,run,answer
96,Coder 1,Screening,3
97,Coder 2,Screening,3
98,Coder 2,Screening,3
99,Coder 1,Trial 3,3
99,Coder 2,Trial 3,3
100,Coder 2,Screening,3
101,Coder 1,Trial 3,3
101,Coder 2,Trial 3,3
102,Coder 1,Trial 2,3
102,Coder 2,Trial 2,3
103,Coder 1,Screening,3
104,Coder 1,Trial 2,2
104,Coder 2,Trial 2,3
105,Coder 1,Trial 3,3
105,Coder 2,Trial 3,3
106,Coder 1,Trial 2,2
106,Coder 2,Trial 2,4
107,Coder 1,Screening,3
108,Coder 1,Screening,3
109,Coder 2,Screening,2
110,Coder 2,Screening,3
111,Coder 2,Screening,3
112,Coder 1,Trial 1,3
112,Coder 2,Trial 1,3
113,Coder 1,Trial 2,3
113,Coder 2,Trial 2,3
114,Coder 1,Trial 3,3
114,Coder 2,Trial 3,3
115,Coder 1,Screening,3
116,Coder 1,Screening,3
117,Coder 2,Screening,3
118,Coder 1,Screening,3
119,Coder 1,Screening,3
120,Coder 2,Screening,3
121,Coder 1,Screening,2
122,Coder 2,Screening,3
123,Coder 1,Screening,3
124,Coder 1,Screening,3
125,Coder 1,Trial 1,3
125,Coder 2,Trial 1,3
126,Coder 1,Screening,3
127,Coder 1,Screening,3
128,Coder 1,Trial 2,3
128,Coder 2,Trial 2,3
129,Coder 2,Screening,3
130,Coder 1,Trial 3,3
130,Coder 2,Trial 3,3
131,Coder 2,Screening,3
132,Coder 2,Screening,3
133,Coder 1,Screening,3
134,Coder 1,Screening,3
135,Coder 1,Screening,2
136,Coder 2,Screening,3
137,Coder 2,Screening,3
138,Coder 1,Screening,3
139,Coder 1,Screening,3
140,Coder 2,Screening,3
141,Coder 2,Screening,3
142,Coder 2,Screening,3
143,Coder 2,Screening,3
144,Coder 1,Screening,3
145,Coder 1,Screening,3
146,Coder 1,Screening,3
147,Coder 1,Screening,3
148,Coder 2,Screening,3
149,Coder 2,Screening,3
150,Coder 2,Screening,3
151,Coder 2,Screening,3
152,Coder 1,Screening,3
153,Coder 1,Screening,3
154,Coder 1,Screening,3
155,Coder 2,Screening,3
156,Coder 1,Trial 2,3
156,Coder 2,Trial 2,3
157,Coder 1,Screening,3
158,Coder 1,Trial 3,3
158,Coder 2,Trial 3,3
159,Coder 2,Screening,3
160,Coder 2,Screening,3
161,Coder 1,Screening,2
162,Coder 2,Screening,3
163,Coder 2,Screening,3
164,Coder 1,Screening,3
165,Coder 2,Screening,3
166,Coder 2,Screening,3
167,Coder 2,Screening,3
168,Coder 1,Screening,3
169,Coder 2,Screening,3
170,Coder 2,Screening,3
171,Coder 2,Screening,3
172,Coder 2,Screening,3
173,Coder 2,Screening,3
174,Coder 2,Screening,3
175,Coder 1,Screening,3
176,Coder 2,Screening,3
177,Coder 1,Trial 1,3
177,Coder 2,Trial 1,3
178,Coder 2,Screening,3
179,Coder 1,Screening,3
180,Coder 2,Screening,3
181,Coder 1,Screening,3
182,Coder 1,Screening,3
183,Coder 2,Screening,3
184,Coder 2,Screening,3
185,Coder 2,Screening,3
186,Coder 2,Screening,3
187,Coder 2,Screening,3
188,Coder 2,Screening,3
189,Coder 1,Trial 1,2
189,Coder 2,Trial 1,2
190,Coder 2,Screening,3
191,Coder 2,Screening,3
192,Coder 1,Screening,3
193,Coder 1,Trial 1,3
193,Coder 2,Trial 1,3
194,Coder 1,Screening,2
195,Coder 1,Screening,3
196,Coder 2,Screening,3
197,Coder 1,Screening,3
198,Coder 1,Screening,3
199,Coder 2,Screening,3
200,Coder 2,Screening,3
201,Coder 2,Screening,3
202,Coder 1,Screening,3
203,Coder 1,Screening,3
204,Coder 2,Screening,3
205,Coder 2,Screening,3
206,Coder 2,Screening,3
207,Coder 2,Screening,3
208,Coder 1,Screening,3
209,Coder 2,Screening,3
210,Coder 1,Screening,2
211,Coder 1,Screening,3
212,Coder 1,Screening,3
213,Coder 2,Screening,3
214,Coder 1,Screening,3
215,Coder 1,Screening,3
216,Coder 1,Screening,3
217,Coder 1,Screening,3
218,Coder 2,Screening,3
219,Coder 1,Screening,2
220,Coder 2,Screening,2
221,Coder 2,Screening,2
222,Coder 2,Screening,3
223,Coder 2,Screening,3
224,Coder 1,Screening,3
225,Coder 1,Trial 1,3
225,Coder 2,Trial 1,3
226,Coder 2,Screening,4
227,Coder 1,Trial 1,2
227,Coder 2,Trial 1,1
228,Coder 1,Screening,3
229,Coder 2,Screening,3
230,Coder 1,Screening,3
231,Coder 2,Screening,3
232,Coder 2,Screening,3
233,Coder 2,Screening,3
234,Coder 2,Screening,3
235,Coder 2,Screening,3
236,Coder 2,Screening,3
237,Coder 2,Screening,3
238,Coder 2,Screening,3
239,Coder 2,Screening,3
240,Coder 1,Screening,3
241,Coder 2,Screening,3
242,Coder 1,Screening,3
243,Coder 1,Trial 1,3
243,Coder 2,Trial 1,3
244,Coder 1,Trial 1,1
244,Coder 2,Trial 1,1
245,Coder 1,Screening,3
246,Coder 2,Screening,3
247,Coder 2,Screening,3
248,Coder 2,Screening,3
249,Coder 2,Screening,3
250,Coder 2,Screening,3
251,Coder 2,Screening,3
252,Coder 1,Screening,3
253,Coder 2,Screening,3
254,Coder 1,Screening,3
255,Coder 2,Screening,3
256,Coder 1,Screening,3
257,Coder 2,Screening,3
258,Coder 1,Screening,3
259,Coder 2,Screening,3
260,Coder 1,Screening,3
261,Coder 2,Screening,3
262,Coder 1,Screening,3
263,Coder 2,Screening,3
264,Coder 1,Screening,3
265,Coder 1,Screening,3
266,Coder 1,Screening,3
267,Coder 2,Screening,3
268,Coder 1,Screening,3
269,Coder 1,Screening,3
270,Coder 2,Screening,2
271,Coder 2,Screening,3
272,Coder 2,Screening,3
273,Coder 2,Screening,3
274,Coder 2,Screening,3
275,Coder 1,Screening,3
276,Coder 2,Screening,3
277,Coder 1,Trial 1,3
277,Coder 2,Trial 1,2
278,Coder 2,Screening,3
279,Coder 1,Screening,3
280,Coder 1,Screening,3
281,Coder 1,Screening,3
282,Coder 1,Screening,3
283,Coder 1,Screening,3
284,Coder 1,Screening,1
285,Coder 2,Screening,3
286,Coder 2,Screening,1
287,Coder 2,Screening,3
288,Coder 1,Screening,3
289,Coder 1,Screening,3
290,Coder 2,Screening,4
291,Coder 1,Screening,3
292,Coder 1,Screening,3
293,Coder 2,Screening,3
294,Coder 1,Trial 3,3
294,Coder 2,Trial 3,3
295,Coder 1,Screening,3
296,Coder 1,Screening,3
297,Coder 1,Screening,2
298,Coder 1,Trial 2,3
298,Coder 2,Trial 2,3
299,Coder 2,Screening,3
300,Coder 2,Screening,3
301,Coder 1,Screening,2
302,Coder 1,Screening,3
303,Coder 1,Screening,1
304,Coder 2,Screening,3
305,Coder 1,Screening,3
306,Coder 2,Screening,3
307,Coder 1,Screening,3
308,Coder 1,Screening,3
309,Coder 2,Screening,3
310,Coder 2,Screening,3
311,Coder 2,Screening,4
312,Coder 1,Screening,3
313,Coder 1,Screening,2
314,Coder 1,Screening,3
315,Coder 1,Trial 1,3
315,Coder 2,Trial 1,3
316,Coder 2,Screening,3
317,Coder 1,Screening,2
318,Coder 1,Screening,3
319,Coder 1,Screening,3
320,Coder 2,Screening,3
321,Coder 1,Screening,3
322,Coder 1,Screening,1
323,Coder 1,Screening,3
324,Coder 1,Screening,2
325,Coder 1,Screening,2
326,Coder 1,Screening,3
327,Coder 2,Screening,3
328,Coder 2,Screening,3
329,Coder 1,Screening,3
330,Coder 2,Screening,3
331,Coder 1,Screening,3
332,Coder 2,Screening,3
333,Coder 1,Screening,2
334,Coder 2,Screening,3
335,Coder 2,Screening,3
336,Coder 2,Screening,1
337,Coder 1,Screening,3
338,Coder 1,Screening,3
339,Coder 1,Screening,3
340,Coder 2,Screening,3
341,Coder 1,Screening,3
342,Coder 1,Screening,3
343,Coder 1,Screening,3
344,Coder 2,Screening,3
345,Coder 1,Screening,3
346,Coder 1,Screening,3
347,Coder 1,Screening,3
348,Coder 1,Trial 1,3
348,Coder 2,Trial 1,3
349,Coder 1,Trial 1,3
349,Coder 2,Trial 1,3
350,Coder 1,Screening,3
351,Coder 2,Screening,3
352,Coder 2,Screening,3
353,Coder 1,Screening,3
354,Coder 1,Screening,3
355,Coder 1,Screening,3
356,Coder 1,Screening,3
357,Coder 1,Screening,3
358,Coder 2,Screening,3
359,Coder 1,Screening,3
360,Coder 1,Screening,2
361,Coder 2,Screening,3
362,Coder 2,Screening,3
363,Coder 1,Screening,2
364,Coder 2,Screening,3
365,Coder 1,Trial 3,4
365,Coder 2,Trial 3,4
366,Coder 1,Trial 1,3
366,Coder 2,Trial 1,3
367,Coder 2,Screening,3
368,Coder 1,Trial 3,3
368,Coder 2,Trial 3,3
369,Coder 1,Screening,3
370,Coder 2,Screening,3
371,Coder 2,Screening,2
372,Coder 1,Trial 3,3
372,Coder 2,Trial 3,3
373,Coder 1,Trial 2,4
373,Coder 2,Trial 2,4
374,Coder 1,Screening,3
375,Coder 1,Trial 2,2
375,Coder 2,Trial 2,3
376,Coder 2,Screening,3
377,Coder 1,Screening,3
378,Coder 1,Screening,3
379,Coder 1,Trial 1,3
379,Coder 2,Trial 1,3
380,Coder 1,Trial 2,2
380,Coder 2,Trial 2,3
381,Coder 1,Screening,3
382,Coder 2,Screening,3
383,Coder 1,Screening,3
384,Coder 1,Trial 3,3
384,Coder 2,Trial 3,3
385,Coder 1,Screening,3
386,Coder 1,Screening,3
387,Coder 2,Screening,3
388,Coder 1,Trial 2,3
388,Coder 2,Trial 2,3
389,Coder 2,Screening,3
390,Coder 2,Screening,3
391,Coder 1,Screening,3
392,Coder 1,Trial 1,3
392,Coder 2,Trial 1,3
393,Coder 1,Trial 3,3
393,Coder 2,Trial 3,3
394,Coder 1,Screening,3
395,Coder 2,Screening,3
396,Coder 2,Screening,3
397,Coder 1,Trial 2,3
397,Coder 2,Trial 2,3
398,Coder 1,Screening,3
399,Coder 1,Screening,3
400,Coder 1,Screening,3
401,Coder 2,Screening,1
402,Coder 1,Screening,2
403,Coder 1,Screening,3
404,Coder 1,Screening,3
405,Coder 1,Screening,3
406,Coder 2,Screening,3
407,Coder 2,Screening,3
408,Coder 1,Trial 3,3
408,Coder 2,Trial 3,3
409,Coder 2,Screening,3
410,Coder 2,Screening,3
411,Coder 1,Screening,3
412,Coder 1,Trial 1,4
412,Coder 2,Trial 1,4
413,Coder 1,Trial 2,3
413,Coder 2,Trial 2,3
414,Coder 1,Screening,1
415,Coder 1,Screening,3
416,Coder 2,Screening,3
417,Coder 1,Screening,3
418,Coder 2,Screening,3
419,Coder 1,Screening,2
420,Coder 1,Trial 3,3
420,Coder 2,Trial 3,3
421,Coder 2,Screening,3
422,Coder 1,Screening,1
423,Coder 1,Trial 2,2
423,Coder 2,Trial 2,3
424,Coder 1,Screening,3
425,Coder 2,Screening,3
426,Coder 2,Screening,3
427,Coder 1,Screening,3
428,Coder 1,Screening,3
429,Coder 2,Screening,3
430,Coder 2,Screening,1
431,Coder 1,Screening,3
432,Coder 1,Screening,3
433,Coder 2,Screening,3
434,Coder 2,Screening,3
435,Coder 2,Screening,3
436,Coder 1,Screening,3
437,Coder 2,Screening,3
438,Coder 1,Screening,3
439,Coder 1,Trial 3,3
439,Coder 2,Trial 3,3
440,Coder 1,Screening,3
441,Coder 2,Screening,3
442,Coder 1,Trial 2,3
442,Coder 2,Trial 2,3
443,Coder 1,Screening,3
444,Coder 1,Screening,3
445,Coder 2,Screening,3
446,Coder 1,Screening,1
447,Coder 2,Screening,3
448,Coder 1,Screening,3
449,Coder 2,Screening,3
450,Coder 2,Screening,3
451,Coder 2,Screening,3
452,Coder 2,Screening,3
453,Coder 1,Screening,3
454,Coder 2,Screening,3
455,Coder 1,Screening,3
456,Coder 2,Screening,3
457,Coder 2,Screening,3
458,Coder 1,Screening,2
459,Coder 1,Screening,3
460,Coder 1,Screening,3
461,Coder 1,Screening,3
462,Coder 2,Screening,3
463,Coder 2,Screening,3
464,Coder 1,Screening,3
465,Coder 1,Screening,3
466,Coder 2,Screening,3
467,Coder 2,Screening,4
468,Coder 1,Screening,3
469,Coder 2,Screening,3
470,Coder 2,Screening,3
471,Coder 2,Screening,3
472,Coder 2,Screening,3
473,Coder 2,Screening,3
474,Coder 1,Screening,3
475,Coder 1,Screening,3
476,Coder 2,Screening,3
477,Coder 2,Screening,3
478,Coder 1,Screening,3
479,Coder 1,Screening,3
480,Coder 2,Screening,1
481,Coder 1,Screening,3
482,Coder 1,Screening,3
483,Coder 1,Screening,3
484,Coder 1,Screening,2
485,Coder 1,Screening,3
486,Coder 1,Screening,3
487,Coder 2,Screening,3
488,Coder 1,Trial 1,3
488,Coder 2,Trial 1,3
489,Coder 1,Trial 3,3
489,Coder 2,Trial 3,3
490,Coder 1,Screening,3
491,Coder 2,Screening,3
492,Coder 1,Trial 3,3
492,Coder 2,Trial 3,3
493,Coder 1,Trial 2,1
493,Coder 2,Trial 2,2
494,Coder 1,Screening,3
495,Coder 1,Screening,3
496,Coder 1,Screening,3
497,Coder 1,Trial 2,3
497,Coder 2,Trial 2,3
498,Coder 1,Screening,3
499,Coder 1,Screening,3
500,Coder 2,Screening,3
501,Coder 2,Screening,3
502,Coder 2,Screening,3
503,Coder 2,Screening,3
504,Coder 2,Screening,3
505,Coder 2,Screening,2
506,Coder 2,Screening,3
507,Coder 2,Screening,3
508,Coder 1,Trial 3,3
508,Coder 2,Trial 3,3
509,Coder 1,Trial 3,3
509,Coder 2,Trial 3,3
510,Coder 2,Screening,3
511,Coder 1,Trial 2,3
511,Coder 2,Trial 2,3
512,Coder 1,Trial 2,3
512,Coder 2,Trial 2,3
513,Coder 1,Screening,2
514,Coder 2,Screening,3
515,Coder 1,Screening,3
516,Coder 2,Screening,3
517,Coder 1,Trial 3,3
517,Coder 2,Trial 3,3
518,Coder 1,Trial 2,3
518,Coder 2,Trial 2,3
519,Coder 2,Screening,3
520,Coder 2,Screening,3
521,Coder 1,Screening,3
522,Coder 1,Screening,3
523,Coder 1,Screening,3
524,Coder 1,Screening,3
525,Coder 1,Screening,3
526,Coder 1,Trial 2,3
526,Coder 2,Trial 2,3
527,Coder 1,Trial 2,3
527,Coder 2,Trial 2,3
528,Coder 1,Trial 3,3
528,Coder 2,Trial 3,3
529,Coder 1,Trial 3,3
529,Coder 2,Trial 3,3
530,Coder 2,Screening,2
531,Coder 2,Screening,4
532,Coder 2,Screening,3
533,Coder 2,Screening,3
534,Coder 1,Screening,3
535,Coder 1,Screening,3
536,Coder 1,Screening,3
537,Coder 2,Screening,3
538,Coder 2,Screening,3
539,Coder 1,Screening,4
540,Coder 1,Screening,3
541,Coder 1,Trial 2,3
541,Coder 2,Trial 2,3
542,Coder 2,Screening,3
543,Coder 1,Trial 3,3
543,Coder 2,Trial 3,3
544,Coder 2,Screening,3
545,Coder 2,Screening,3
546,Coder 1,Screening,3
547,Coder 1,Screening,3
548,Coder 2,Screening,3
549,Coder 2,Screening,3
550,Coder 1,Trial 2,3
550,Coder 2,Trial 2,3
551,Coder 1,Screening,3
552,Coder 1,Trial 1,3
552,Coder 2,Trial 1,3
553,Coder 1,Trial 2,3
553,Coder 2,Trial 2,3
554,Coder 1,Trial 3,3
554,Coder 2,Trial 3,3
555,Coder 1,Trial 2,3
555,Coder 2,Trial 2,3
556,Coder 2,Screening,3
557,Coder 1,Trial 3,3
557,Coder 2,Trial 3,3
558,Coder 1,Trial 3,3
558,Coder 2,Trial 3,3
559,Coder 2,Screening,3
560,Coder 2,Screening,3
561,Coder 1,Screening,3
562,Coder 1,Screening,3
563,Coder 1,Screening,3
564,Coder 1,Screening,3
565,Coder 1,Screening,3
566,Coder 2,Screening,3
567,Coder 2,Screening,3
568,Coder 1,Screening,3
569,Coder 2,Screening,3
570,Coder 2,Screening,3
571,Coder 2,Screening,3
572,Coder 2,Screening,3
573,Coder 1,Screening,3
574,Coder 2,Screening,3
575,Coder 1,Trial 1,3
575,Coder 2,Trial 1,3
576,Coder 1,Screening,3
577,Coder 2,Screening,2
578,Coder 1,Trial 1,3
578,Coder 2,Trial 1,3
579,Coder 1,Screening,3
580,Coder 1,Screening,3
581,Coder 1,Screening,3
582,Coder 1,Screening,3
583,Coder 2,Screening,3
584,Coder 1,Trial 2,3
584,Coder 2,Trial 2,3
585,Coder 1,Trial 1,3
585,Coder 2,Trial 1,3
586,Coder 2,Screening,3
587,Coder 1,Screening,3
588,Coder 1,Trial 3,3
588,Coder 2,Trial 3,3
589,Coder 1,Screening,3
590,Coder 1,Screening,3
591,Coder 1,Screening,3
592,Coder 2,Screening,3
593,Coder 2,Screening,2
594,Coder 1,Screening,3
595,Coder 2,Screening,2
596,Coder 2,Screening,3
597,Coder 1,Screening,3
598,Coder 1,Screening,3
599,Coder 2,Screening,3
600,Coder 1,Trial 2,3
600,Coder 2,Trial 2,3
601,Coder 2,Screening,3
602,Coder 1,Screening,3
603,Coder 2,Screening,3
604,Coder 1,Trial 3,3
604,Coder 2,Trial 3,3
605,Coder 1,Screening,3
606,Coder 2,Screening,3
607,Coder 1,Screening,3
608,Coder 1,Screening,3
609,Coder 1,Screening,2
610,Coder 2,Screening,3
611,Coder 2,Screening,3
612,Coder 1,Screening,2
613,Coder 1,Screening,3
614,Coder 1,Screening,3
615,Coder 1,Trial 1,3
615,Coder 2,Trial 1,3
616,Coder 1,Screening,3
617,Coder 1,Screening,3
618,Coder 1,Screening,3
619,Coder 2,Screening,3
620,Coder 2,Screening,3
621,Coder 2,Screening,3
622,Coder 2,Screening,1
623,Coder 2,Screening,3
624,Coder 1,Screening,3
625,Coder 1,Screening,3
626,Coder 1,Screening,3
627,Coder 2,Screening,3
628,Coder 1,Screening,3
629,Coder 2,Screening,3
630,Coder 1,Screening,3
631,Coder 1,Screening,3
632,Coder 2,Screening,3
633,Coder 2,Screening,3
634,Coder 2,Screening,3
635,Coder 1,Screening,3
636,Coder 1,Screening,3
637,Coder 2,Screening,3
638,Coder 2,Screening,3
639,Coder 2,Screening,2
640,Coder 2,Screening,3
641,Coder 1,Screening,1
642,Coder 2,Screening,3
643,Coder 2,Screening,3
644,Coder 2,Screening,3
645,Coder 2,Screening,3
646,Coder 2,Screening,3
647,Coder 1,Screening,3
648,Coder 1,Screening,3
649,Coder 2,Screening,3
650,Coder 1,Trial 2,3
650,Coder 2,Trial 2,3
651,Coder 1,Trial 2,3
651,Coder 2,Trial 2,3
652,Coder 1,Trial 2,3
652,Coder 2,Trial 2,3
653,Coder 1,Screening,3
654,Coder 2,Screening,3
655,Coder 1,Trial 3,3
655,Coder 2,Trial 3,3
656,Coder 1,Trial 3,3
656,Coder 2,Trial 3,3
657,Coder 1,Trial 1,3
657,Coder 2,Trial 1,3
658,Coder 2,Screening,3
659,Coder 1,Screening,3
660,Coder 1,Screening,3
661,Coder 2,Screening,2
662,Coder 2,Screening,3
663,Coder 2,Screening,3
664,Coder 2,Screening,3
665,Coder 2,Screening,3
666,Coder 2,Screening,3
667,Coder 1,Screening,3
668,Coder 1,Screening,1
669,Coder 2,Screening,3
670,Coder 2,Screening,3
671,Coder 2,Screening,3
672,Coder 1,Trial 1,3
672,Coder 2,Trial 1,2
673,Coder 1,Screening,3
674,Coder 2,Screening,3
675,Coder 2,Screening,3
676,Coder 1,Screening,3
677,Coder 1,Screening,3
678,Coder 1,Trial 1,3
678,Coder 2,Trial 1,3
679,Coder 1,Screening,3
680,Coder 1,Trial 2,3
680,Coder 2,Trial 2,3
681,Coder 1,Screening,3
682,Coder 1,Screening,3
683,Coder 1,Screening,3
684,Coder 1,Trial 3,1
684,Coder 2,Trial 3,1
685,Coder 1,Screening,3
686,Coder 1,Screening,3
687,Coder 1,Screening,3
688,Coder 1,Screening,3
689,Coder 1,Screening,3
690,Coder 2,Screening,3
691,Coder 1,Trial 1,3
691,Coder 2,Trial 1,3
692,Coder 2,Screening,3
693,Coder 1,Screening,3
694,Coder 2,Screening,3
695,Coder 2,Screening,3
696,Coder 2,Screening,3
697,Coder 2,Screening,2
698,Coder 2,Screening,3
699,Coder 2,Screening,3
700,Coder 2,Screening,3
701,Coder 1,Screening,3
702,Coder 1,Screening,3
703,Coder 2,Screening,2
704,Coder 1,Screening,3
705,Coder 1,Screening,3
706,Coder 1,Screening,2
707,Coder 2,Screening,3
708,Coder 2,Screening,3
709,Coder 1,Screening,3
710,Coder 1,Screening,3
711,Coder 1,Screening,2
712,Coder 2,Screening,3
713,Coder 1,Screening,3
714,Coder 2,Screening,3
715,Coder 1,Screening,2
716,Coder 1,Screening,3
717,Coder 2,Screening,3
718,Coder 2,Screening,1
719,Coder 2,Screening,2
720,Coder 1,Screening,3
721,Coder 1,Screening,3
722,Coder 2,Screening,3
723,Coder 1,Trial 2,3
723,Coder 2,Trial 2,3
724,Coder 2,Screening,3
725,Coder 1,Screening,3
726,Coder 2,Screening,3
727,Coder 1,Trial 3,3
727,Coder 2,Trial 3,3
728,Coder 2,Screening,3
729,Coder 2,Screening,3
730,Coder 2,Screening,3
731,Coder 1,Screening,3
732,Coder 2,Screening,3
733,Coder 2,Screening,1
734,Coder 2,Screening,3
735,Coder 1,Trial 2,3
735,Coder 2,Trial 2,3
736,Coder 1,Screening,3
737,Coder 1,Screening,3
738,Coder 1,Screening,3
739,Coder 1,Screening,3
740,Coder 1,Trial 3,3
740,Coder 2,Trial 3,3
741,Coder 1,Screening,3
742,Coder 2,Screening,3
743,Coder 1,Screening,3
744,Coder 2,Screening,3
745,Coder 2,Screening,3
746,Coder 2,Screening,3
747,Coder 1,Screening,3
748,Coder 2,Screening,3
749,Coder 2,Screening,3
750,Coder 2,Screening,3
751,Coder 1,Screening,3
752,Coder 1,Screening,3
753,Coder 2,Screening,3
754,Coder 1,Screening,3
755,Coder 1,Screening,3
756,Coder 2,Screening,3
757,Coder 2,Screening,3
758,Coder 1,Trial 1,3
758,Coder 2,Trial 1,3
759,Coder 2,Screening,3
760,Coder 2,Screening,3
761,Coder 2,Screening,3
762,Coder 2,Screening,3
763,Coder 1,Screening,2
764,Coder 2,Screening,3
765,Coder 2,Screening,3
766,Coder 1,Screening,3
767,Coder 1,Screening,3
768,Coder 1,Trial 1,3
768,Coder 2,Trial 1,3
769,Coder 2,Screening,3
770,Coder 2,Screening,3
771,Coder 1,Screening,3
772,Coder 2,Screening,3
773,Coder 1,Screening,3
774,Coder 2,Screening,3
775,Coder 2,Screening,2
776,Coder 1,Trial 2,3
776,Coder 2,Trial 2,3
777,Coder 2,Screening,3
778,Coder 1,Trial 2,3
778,Coder 2,Trial 2,3
779,Coder 2,Screening,3
780,Coder 2,Screening,3
781,Coder 1,Trial 3,3
781,Coder 2,Trial 3,3
782,Coder 1,Screening,3
783,Coder 1,Trial 3,1
783,Coder 2,Trial 3,3
784,Coder 2,Screening,3
785,Coder 1,Screening,3
786,Coder 1,Screening,2
787,Coder 2,Screening,3
788,Coder 1,Screening,3
789,Coder 1,Trial 2,1
789,Coder 2,Trial 2,1
790,Coder 1,Screening,3
791,Coder 2,Screening,3
792,Coder 2,Screening,3
793,Coder 1,Screening,3
794,Coder 1,Trial 3,3
794,Coder 2,Trial 3,3
795,Coder 1,Screening,3
796,Coder 2,Screening,3
797,Coder 2,Screening,3
798,Coder 1,Screening,3
799,Coder 1,Screening,3
800,Coder 1,Screening,3
801,Coder 2,Screening,3
802,Coder 1,Screening,3
803,Coder 2,Screening,2
804,Coder 1,Screening,3
805,Coder 1,Screening,3
806,Coder 1,Screening,4
807,Coder 1,Screening,3
808,Coder 1,Screening,3
809,Coder 1,Screening,3
810,Coder 1,Screening,3
811,Coder 1,Screening,3
812,Coder 2,Screening,3
813,Coder 1,Screening,1
814,Coder 1,Screening,3
815,Coder 1,Screening,3
816,Coder 1,Screening,3
817,Coder 1,Screening,3
818,Coder 1,Screening,2
819,Coder 2,Screening,3
820,Coder 2,Screening,3
821,Coder 1,Screening,3
822,Coder 1,Screening,3
823,Coder 1,Screening,2
824,Coder 1,Screening,3
825,Coder 1,Trial 2,3
825,Coder 2,Trial 2,3
826,Coder 1,Screening,3
827,Coder 1,Screening,3
828,Coder 2,Screening,3
829,Coder 2,Screening,2
830,Coder 1,Trial 2,1
830,Coder 2,Trial 2,2
831,Coder 1,Trial 3,3
831,Coder 2,Trial 3,3
832,Coder 2,Screening,3
833,Coder 2,Screening,3
834,Coder 1,Trial 3,3
834,Coder 2,Trial 3,3
835,Coder 2,Screening,3
836,Coder 2,Screening,3
837,Coder 2,Screening,3
838,Coder 1,Screening,3
839,Coder 2,Screening,3
840,Coder 2,Screening,3
841,Coder 1,Screening,1
842,Coder 1,Screening,3
843,Coder 1,Trial 1,3
843,Coder 2,Trial 1,3
844,Coder 2,Screening,3
845,Coder 2,Screening,3
846,Coder 1,Trial 2,3
846,Coder 2,Trial 2,3
847,Coder 2,Screening,3
848,Coder 2,Screening,3
849,Coder 1,Screening,3
850,Coder 1,Screening,3
851,Coder 1,Trial 3,3
851,Coder 2,Trial 3,3
852,Coder 2,Screening,3
853,Coder 2,Screening,3
