id,n_samples,sample,item,response
4000,1,1,r_11_3,NA
4000,1,1,r_11_4,NA
4000,1,1,r_11_5,NA
4000,1,1,r_11_6,NA
4000,1,1,r_11_7,NA
4000,1,1,r_11_8,NA
4000,1,1,r_11_9,NA
4000,1,1,r_12_1,NA
4000,1,1,r_12_10,NA
4000,1,1,r_12_11,NA
4000,1,1,r_12_12,1
4000,1,1,r_12_13,NA
4000,1,1,r_12_14,NA
4000,1,1,r_12_15,NA
4000,1,1,r_12_16,NA
4000,1,1,r_12_18,NA
4000,1,1,r_12_19,NA
4000,1,1,r_12_2,NA
4000,1,1,r_12_3,NA
4000,1,1,r_12_4,NA
4000,1,1,r_12_5,NA
4000,1,1,r_12_6,NA
4000,1,1,r_12_7,NA
4000,1,1,r_12_8,NA
4000,1,1,r_12_9,NA
4000,1,1,r_13_1,NA
4000,1,1,r_13_10,NA
4000,1,1,r_13_11,NA
4000,1,1,r_13_12,NA
4000,1,1,r_13_13,NA
4000,1,1,r_13_14,NA
4000,1,1,r_13_15,NA
4000,1,1,r_13_16,NA
4000,1,1,r_13_18,NA
4000,1,1,r_13_19,NA
4000,1,1,r_13_2,NA
4000,1,1,r_13_3,NA
4000,1,1,r_13_4,NA
4000,1,1,r_13_5,NA
4000,1,1,r_13_6,NA
4000,1,1,r_13_7,NA
4000,1,1,r_13_8,NA
4000,1,1,r_13_9,NA
4000,1,1,r_14_1,NA
4000,1,1,r_14_10,NA
4000,1,1,r_14_11,NA
4000,1,1,r_14_12,NA
4000,1,1,r_14_13,NA
4000,1,1,r_14_14,NA
4000,1,1,r_14_15,NA
4000,1,1,r_14_16,NA
4000,1,1,r_14_18,NA
4000,1,1,r_14_19,NA
4000,1,1,r_14_2,NA
4000,1,1,r_14_3,NA
4000,1,1,r_14_4,NA
4000,1,1,r_14_5,NA
4000,1,1,r_14_6,NA
4000,1,1,r_14_7,NA
4000,1,1,r_14_8,NA
4000,1,1,r_14_9,NA
4000,1,1,r_15_1,NA
4000,1,1,r_15_10,NA
4000,1,1,r_15_11,NA
4000,1,1,r_15_12,NA
4000,1,1,r_15_13,NA
4000,1,1,r_15_14,NA
4000,1,1,r_15_15,NA
4000,1,1,r_15_16,NA
4000,1,1,r_15_18,NA
4000,1,1,r_15_19,NA
4000,1,1,r_15_2,NA
4000,1,1,r_15_3,NA
4000,1,1,r_15_4,NA
4000,1,1,r_15_5,NA
4000,1,1,r_15_6,NA
4000,1,1,r_15_7,NA
4000,1,1,r_15_8,NA
4000,1,1,r_15_9,NA
4000,1,1,r_16_1,NA
4000,1,1,r_16_10,NA
4000,1,1,r_16_11,NA
4000,1,1,r_16_12,NA
4000,1,1,r_16_13,NA
4000,1,1,r_16_14,NA
4000,1,1,r_16_15,NA
4000,1,1,r_16_16,NA
4000,1,1,r_16_18,NA
4000,1,1,r_16_19,NA
4000,1,1,r_16_2,NA
4000,1,1,r_16_3,NA
4000,1,1,r_16_4,NA
4000,1,1,r_16_5,NA
4000,1,1,r_16_6,NA
4000,1,1,r_16_7,NA
4000,1,1,r_16_8,NA
4000,1,1,r_16_9,NA
4000,1,1,r_18_1,NA
4000,1,1,r_18_10,NA
4000,1,1,r_18_11,NA
4000,1,1,r_18_12,NA
4000,1,1,r_18_13,NA
4000,1,1,r_18_14,NA
4000,1,1,r_18_15,NA
4000,1,1,r_18_16,NA
4000,1,1,r_18_18,NA
4000,1,1,r_18_19,NA
4000,1,1,r_18_2,NA
4000,1,1,r_18_3,NA
4000,1,1,r_18_4,NA
4000,1,1,r_18_5,NA
4000,1,1,r_18_6,NA
4000,1,1,r_18_7,NA
4000,1,1,r_18_8,NA
4000,1,1,r_18_9,NA
4000,1,1,r_19_1,NA
4000,1,1,r_19_10,NA
4000,1,1,r_19_11,NA
4000,1,1,r_19_12,NA
4000,1,1,r_19_13,NA
4000,1,1,r_19_14,NA
4000,1,1,r_19_15,NA
4000,1,1,r_19_16,NA
4000,1,1,r_19_18,NA
4000,1,1,r_19_19,NA
4000,1,1,r_19_2,NA
4000,1,1,r_19_3,NA
4000,1,1,r_19_4,NA
4000,1,1,r_19_5,NA
4000,1,1,r_19_6,NA
4000,1,1,r_19_7,NA
4000,1,1,r_19_8,NA
4000,1,1,r_19_9,NA
4000,1,1,r_2_1,NA
4000,1,1,r_2_10,NA
4000,1,1,r_2_11,NA
4000,1,1,r_2_12,NA
4000,1,1,r_2_13,NA
4000,1,1,r_2_14,NA
4000,1,1,r_2_15,NA
4000,1,1,r_2_16,NA
4000,1,1,r_2_18,NA
4000,1,1,r_2_19,NA
4000,1,1,r_2_2,NA
4000,1,1,r_2_3,NA
4000,1,1,r_2_4,NA
4000,1,1,r_2_5,NA
4000,1,1,r_2_6,NA
4000,1,1,r_2_7,NA
4000,1,1,r_2_8,NA
4000,1,1,r_2_9,NA
4000,1,1,r_3_1,NA
4000,1,1,r_3_10,NA
4000,1,1,r_3_11,NA
4000,1,1,r_3_12,-0.24
4000,1,1,r_3_13,NA
4000,1,1,r_3_14,NA
4000,1,1,r_3_15,NA
4000,1,1,r_3_16,NA
4000,1,1,r_3_18,NA
4000,1,1,r_3_19,NA
4000,1,1,r_3_2,NA
4000,1,1,r_3_3,1
4000,1,1,r_3_4,-0.21
4000,1,1,r_3_5,NA
4000,1,1,r_3_6,NA
4000,1,1,r_3_7,NA
4000,1,1,r_3_8,NA
4000,1,1,r_3_9,NA
4000,1,1,r_4_1,NA
4000,1,1,r_4_10,NA
4000,1,1,r_4_11,NA
4000,1,1,r_4_12,0.51
4000,1,1,r_4_13,NA
4000,1,1,r_4_14,NA
4000,1,1,r_4_15,NA
4000,1,1,r_4_16,NA
4000,1,1,r_4_18,NA
4000,1,1,r_4_19,NA
4000,1,1,r_4_2,NA
4000,1,1,r_4_3,NA
4000,1,1,r_4_4,1
4000,1,1,r_4_5,NA
4000,1,1,r_4_6,NA
4000,1,1,r_4_7,NA
4000,1,1,r_4_8,NA
4000,1,1,r_4_9,NA
4000,1,1,r_5_1,NA
4000,1,1,r_5_10,NA
4000,1,1,r_5_11,NA
4000,1,1,r_5_12,NA
4000,1,1,r_5_13,NA
4000,1,1,r_5_14,NA
4000,1,1,r_5_15,NA
4000,1,1,r_5_16,NA
4000,1,1,r_5_18,NA
4000,1,1,r_5_19,NA
4000,1,1,r_5_2,NA
4000,1,1,r_5_3,NA
4000,1,1,r_5_4,NA
4000,1,1,r_5_5,NA
4000,1,1,r_5_6,NA
4000,1,1,r_5_7,NA
4000,1,1,r_5_8,NA
4000,1,1,r_5_9,NA
4000,1,1,r_6_1,NA
4000,1,1,r_6_10,NA
4000,1,1,r_6_11,NA
4000,1,1,r_6_12,NA
4000,1,1,r_6_13,NA
4000,1,1,r_6_14,NA
4000,1,1,r_6_15,NA
4000,1,1,r_6_16,NA
4000,1,1,r_6_18,NA
4000,1,1,r_6_19,NA
4000,1,1,r_6_2,NA
4000,1,1,r_6_3,NA
4000,1,1,r_6_4,NA
4000,1,1,r_6_5,NA
4000,1,1,r_6_6,NA
4000,1,1,r_6_7,NA
4000,1,1,r_6_8,NA
4000,1,1,r_6_9,NA
4000,1,1,r_7_1,NA
4000,1,1,r_7_10,NA
4000,1,1,r_7_11,NA
4000,1,1,r_7_12,NA
4000,1,1,r_7_13,NA
4000,1,1,r_7_14,NA
4000,1,1,r_7_15,NA
4000,1,1,r_7_16,NA
4000,1,1,r_7_18,NA
4000,1,1,r_7_19,NA
4000,1,1,r_7_2,NA
4000,1,1,r_7_3,NA
4000,1,1,r_7_4,NA
4000,1,1,r_7_5,NA
4000,1,1,r_7_6,NA
4000,1,1,r_7_7,NA
4000,1,1,r_7_8,NA
4000,1,1,r_7_9,NA
4000,1,1,r_8_1,NA
4000,1,1,r_8_10,NA
4000,1,1,r_8_11,NA
4000,1,1,r_8_12,NA
4000,1,1,r_8_13,NA
4000,1,1,r_8_14,NA
4000,1,1,r_8_15,NA
4000,1,1,r_8_16,NA
4000,1,1,r_8_18,NA
4000,1,1,r_8_19,NA
4000,1,1,r_8_2,NA
4000,1,1,r_8_3,NA
4000,1,1,r_8_4,NA
4000,1,1,r_8_5,NA
4000,1,1,r_8_6,NA
4000,1,1,r_8_7,NA
4000,1,1,r_8_8,NA
4000,1,1,r_8_9,NA
4000,1,1,r_9_1,NA
4000,1,1,r_9_10,NA
4000,1,1,r_9_11,NA
4000,1,1,r_9_12,NA
4000,1,1,r_9_13,NA
4000,1,1,r_9_14,NA
4000,1,1,r_9_15,NA
4000,1,1,r_9_16,NA
4000,1,1,r_9_18,NA
4000,1,1,r_9_19,NA
4000,1,1,r_9_2,NA
4000,1,1,r_9_3,NA
4000,1,1,r_9_4,NA
4000,1,1,r_9_5,NA
4000,1,1,r_9_6,NA
4000,1,1,r_9_7,NA
4000,1,1,r_9_8,NA
4000,1,1,r_9_9,NA
4000,1,1,study_design,1
4000,1,1,study_design_text,NA
4000,1,1,study_intention,1
4000,1,1,study_sample,2
4000,1,1,study_sample_text,NA
4000,1,1,var_18_text,NA
4000,1,1,var_19_text,NA
4000,1,1,variables,"3,4,12"
4001,1,1,age_adolescents,0
4001,1,1,age_adults,1
4001,1,1,age_children,0
4001,1,1,country,142
4001,1,1,ingroup,Mexicans
4001,1,1,items_1,NA
4001,1,1,items_10,NA
4001,1,1,items_11,"IRGD was measured using an item drawn from Runciman (1966) and Vanneman and Pettigrew (1972) that asked for judgments of the in‐group's economic situation compared with the out‐group's. This was worded: “Compared to most Americans[Mexicans] living in this area, would you say that over the last five years Mexicans [Americans] in general have been economically a lot worse off/ worse off/ the same/ better off/ a lot better off?” Responses were provided on 5‐point Likert scales, with a score of 1 denoting maximum RG (other country worse off) and a score of 5 denoting maximum RD (other country better off)."
4001,1,1,items_12,NA
4001,1,1,items_13,NA
4001,1,1,items_14,NA
4001,1,1,items_15,NA
4001,1,1,items_16,NA
4001,1,1,items_18,NA
4001,1,1,items_19,NA
4001,1,1,items_2,NA
4001,1,1,items_3,"Quality of Contact was measured using items drawn from Eller and Abrams (2003, 2004) and Islam and Hewstone (1993), asking respondents whether their contact with Americans (Mexicans) was pleasant (very unpleasant—very pleasant ), intimate (very superficial—very intimate ), cooperative (very competitive—very cooperative ), and among equals (definitely not—definitely yes ), and how often they had contact as friends (not at all—very often ). Responses were provided on 7‐point Likert scales, with higher scores denoting higher quality of contact. Cronbach's α reliability coefficients were 0.82 (Mexico) and 0.70 (US), respectively."
4001,1,1,items_4,NA
4001,1,1,items_5,NA
4001,1,1,items_6,NA
4001,1,1,items_7,NA
4001,1,1,items_8,NA
4001,1,1,items_9,NA
4001,1,1,n,239
4001,1,1,outgroup,Americans
4001,1,1,r_1_1,NA
4001,1,1,r_1_10,NA
4001,1,1,r_1_11,NA
4001,1,1,r_1_12,NA
4001,1,1,r_1_13,NA
4001,1,1,r_1_14,NA
4001,1,1,r_1_15,NA
4001,1,1,r_1_16,NA
4001,1,1,r_1_18,NA
4001,1,1,r_1_19,NA
4001,1,1,r_1_2,NA
4001,1,1,r_1_3,NA
4001,1,1,r_1_4,NA
4001,1,1,r_1_5,NA
4001,1,1,r_1_6,NA
4001,1,1,r_1_7,NA
4001,1,1,r_1_8,NA
4001,1,1,r_1_9,NA
4001,1,1,r_10_1,NA
4001,1,1,r_10_10,NA
4001,1,1,r_10_11,NA
4001,1,1,r_10_12,NA
4001,1,1,r_10_13,NA
4001,1,1,r_10_14,NA
4001,1,1,r_10_15,NA
4001,1,1,r_10_16,NA
4001,1,1,r_10_18,NA
4001,1,1,r_10_19,NA
4001,1,1,r_10_2,NA
4001,1,1,r_10_3,NA
4001,1,1,r_10_4,NA
4001,1,1,r_10_5,NA
4001,1,1,r_10_6,NA
4001,1,1,r_10_7,NA
4001,1,1,r_10_8,NA
4001,1,1,r_10_9,NA
4001,1,1,r_11_1,NA
4001,1,1,r_11_10,NA
4001,1,1,r_11_11,1
4001,1,1,r_11_12,NA
4001,1,1,r_11_13,NA
4001,1,1,r_11_14,NA
4001,1,1,r_11_15,NA
4001,1,1,r_11_16,NA
4001,1,1,r_11_18,NA
4001,1,1,r_11_19,NA
4001,1,1,r_11_2,NA
4001,1,1,r_11_3,NA
4001,1,1,r_11_4,NA
4001,1,1,r_11_5,NA
4001,1,1,r_11_6,NA
4001,1,1,r_11_7,NA
4001,1,1,r_11_8,NA
4001,1,1,r_11_9,NA
4001,1,1,r_12_1,NA
4001,1,1,r_12_10,NA
4001,1,1,r_12_11,NA
4001,1,1,r_12_12,NA
4001,1,1,r_12_13,NA
4001,1,1,r_12_14,NA
4001,1,1,r_12_15,NA
4001,1,1,r_12_16,NA
4001,1,1,r_12_18,NA
4001,1,1,r_12_19,NA
4001,1,1,r_12_2,NA
4001,1,1,r_12_3,NA
4001,1,1,r_12_4,NA
4001,1,1,r_12_5,NA
4001,1,1,r_12_6,NA
4001,1,1,r_12_7,NA
4001,1,1,r_12_8,NA
4001,1,1,r_12_9,NA
4001,1,1,r_13_1,NA
4001,1,1,r_13_10,NA
4001,1,1,r_13_11,NA
4001,1,1,r_13_12,NA
4001,1,1,r_13_13,NA
4001,1,1,r_13_14,NA
4001,1,1,r_13_15,NA
4001,1,1,r_13_16,NA
4001,1,1,r_13_18,NA
4001,1,1,r_13_19,NA
4001,1,1,r_13_2,NA
4001,1,1,r_13_3,NA
4001,1,1,r_13_4,NA
4001,1,1,r_13_5,NA
4001,1,1,r_13_6,NA
4001,1,1,r_13_7,NA
4001,1,1,r_13_8,NA
4001,1,1,r_13_9,NA
4001,1,1,r_14_1,NA
4001,1,1,r_14_10,NA
4001,1,1,r_14_11,NA
4001,1,1,r_14_12,NA
4001,1,1,r_14_13,NA
4001,1,1,r_14_14,NA
4001,1,1,r_14_15,NA
4001,1,1,r_14_16,NA
4001,1,1,r_14_18,NA
4001,1,1,r_14_19,NA
4001,1,1,r_14_2,NA
4001,1,1,r_14_3,NA
4001,1,1,r_14_4,NA
4001,1,1,r_14_5,NA
4001,1,1,r_14_6,NA
4001,1,1,r_14_7,NA
4001,1,1,r_14_8,NA
4001,1,1,r_14_9,NA
4001,1,1,r_15_1,NA
4001,1,1,r_15_10,NA
4001,1,1,r_15_11,NA
4001,1,1,r_15_12,NA
4001,1,1,r_15_13,NA
4001,1,1,r_15_14,NA
4001,1,1,r_15_15,NA
4001,1,1,r_15_16,NA
4001,1,1,r_15_18,NA
4001,1,1,r_15_19,NA
4001,1,1,r_15_2,NA
4001,1,1,r_15_3,NA
4001,1,1,r_15_4,NA
4001,1,1,r_15_5,NA
4001,1,1,r_15_6,NA
4001,1,1,r_15_7,NA
4001,1,1,r_15_8,NA
4001,1,1,r_15_9,NA
4001,1,1,r_16_1,NA
4001,1,1,r_16_10,NA
4001,1,1,r_16_11,NA
4001,1,1,r_16_12,NA
4001,1,1,r_16_13,NA
4001,1,1,r_16_14,NA
4001,1,1,r_16_15,NA
4001,1,1,r_16_16,NA
4001,1,1,r_16_18,NA
4001,1,1,r_16_19,NA
4001,1,1,r_16_2,NA
4001,1,1,r_16_3,NA
4001,1,1,r_16_4,NA
4001,1,1,r_16_5,NA
4001,1,1,r_16_6,NA
4001,1,1,r_16_7,NA
4001,1,1,r_16_8,NA
4001,1,1,r_16_9,NA
4001,1,1,r_18_1,NA
4001,1,1,r_18_10,NA
4001,1,1,r_18_11,NA
4001,1,1,r_18_12,NA
4001,1,1,r_18_13,NA
4001,1,1,r_18_14,NA
4001,1,1,r_18_15,NA
4001,1,1,r_18_16,NA
4001,1,1,r_18_18,NA
4001,1,1,r_18_19,NA
4001,1,1,r_18_2,NA
4001,1,1,r_18_3,NA
4001,1,1,r_18_4,NA
4001,1,1,r_18_5,NA
4001,1,1,r_18_6,NA
4001,1,1,r_18_7,NA
4001,1,1,r_18_8,NA
4001,1,1,r_18_9,NA
4001,1,1,r_19_1,NA
4001,1,1,r_19_10,NA
4001,1,1,r_19_11,NA
4001,1,1,r_19_12,NA
4001,1,1,r_19_13,NA
4001,1,1,r_19_14,NA
4001,1,1,r_19_15,NA
4001,1,1,r_19_16,NA
4001,1,1,r_19_18,NA
4001,1,1,r_19_19,NA
4001,1,1,r_19_2,NA
4001,1,1,r_19_3,NA
4001,1,1,r_19_4,NA
4001,1,1,r_19_5,NA
4001,1,1,r_19_6,NA
4001,1,1,r_19_7,NA
4001,1,1,r_19_8,NA
4001,1,1,r_19_9,NA
4001,1,1,r_2_1,NA
4001,1,1,r_2_10,NA
4001,1,1,r_2_11,NA
4001,1,1,r_2_12,NA
4001,1,1,r_2_13,NA
4001,1,1,r_2_14,NA
4001,1,1,r_2_15,NA
4001,1,1,r_2_16,NA
4001,1,1,r_2_18,NA
4001,1,1,r_2_19,NA
4001,1,1,r_2_2,NA
4001,1,1,r_2_3,NA
4001,1,1,r_2_4,NA
4001,1,1,r_2_5,NA
4001,1,1,r_2_6,NA
4001,1,1,r_2_7,NA
4001,1,1,r_2_8,NA
4001,1,1,r_2_9,NA
4001,1,1,r_3_1,NA
4001,1,1,r_3_10,NA
4001,1,1,r_3_11,0.07
4001,1,1,r_3_12,NA
4001,1,1,r_3_13,NA
4001,1,1,r_3_14,NA
4001,1,1,r_3_15,NA
4001,1,1,r_3_16,NA
4001,1,1,r_3_18,NA
4001,1,1,r_3_19,NA
4001,1,1,r_3_2,NA
4001,1,1,r_3_3,1
4001,1,1,r_3_4,NA
4001,1,1,r_3_5,NA
4001,1,1,r_3_6,NA
4001,1,1,r_3_7,NA
4001,1,1,r_3_8,NA
4001,1,1,r_3_9,NA
4001,1,1,r_4_1,NA
4001,1,1,r_4_10,NA
4001,1,1,r_4_11,NA
4001,1,1,r_4_12,NA
4001,1,1,r_4_13,NA
4001,1,1,r_4_14,NA
4001,1,1,r_4_15,NA
4001,1,1,r_4_16,NA
4001,1,1,r_4_18,NA
4001,1,1,r_4_19,NA
4001,1,1,r_4_2,NA
4001,1,1,r_4_3,NA
4001,1,1,r_4_4,NA
4001,1,1,r_4_5,NA
4001,1,1,r_4_6,NA
4001,1,1,r_4_7,NA
4001,1,1,r_4_8,NA
4001,1,1,r_4_9,NA
4001,1,1,r_5_1,NA
4001,1,1,r_5_10,NA
4001,1,1,r_5_11,NA
4001,1,1,r_5_12,NA
4001,1,1,r_5_13,NA
4001,1,1,r_5_14,NA
4001,1,1,r_5_15,NA
4001,1,1,r_5_16,NA
4001,1,1,r_5_18,NA
4001,1,1,r_5_19,NA
4001,1,1,r_5_2,NA
4001,1,1,r_5_3,NA
4001,1,1,r_5_4,NA
4001,1,1,r_5_5,NA
4001,1,1,r_5_6,NA
4001,1,1,r_5_7,NA
4001,1,1,r_5_8,NA
4001,1,1,r_5_9,NA
4001,1,1,r_6_1,NA
4001,1,1,r_6_10,NA
4001,1,1,r_6_11,NA
4001,1,1,r_6_12,NA
4001,1,1,r_6_13,NA
4001,1,1,r_6_14,NA
4001,1,1,r_6_15,NA
4001,1,1,r_6_16,NA
4001,1,1,r_6_18,NA
4001,1,1,r_6_19,NA
4001,1,1,r_6_2,NA
4001,1,1,r_6_3,NA
4001,1,1,r_6_4,NA
4001,1,1,r_6_5,NA
4001,1,1,r_6_6,NA
4001,1,1,r_6_7,NA
4001,1,1,r_6_8,NA
4001,1,1,r_6_9,NA
4001,1,1,r_7_1,NA
4001,1,1,r_7_10,NA
4001,1,1,r_7_11,NA
4001,1,1,r_7_12,NA
4001,1,1,r_7_13,NA
4001,1,1,r_7_14,NA
4001,1,1,r_7_15,NA
4001,1,1,r_7_16,NA
4001,1,1,r_7_18,NA
4001,1,1,r_7_19,NA
4001,1,1,r_7_2,NA
4001,1,1,r_7_3,NA
4001,1,1,r_7_4,NA
4001,1,1,r_7_5,NA
4001,1,1,r_7_6,NA
4001,1,1,r_7_7,NA
4001,1,1,r_7_8,NA
4001,1,1,r_7_9,NA
4001,1,1,r_8_1,NA
4001,1,1,r_8_10,NA
4001,1,1,r_8_11,NA
4001,1,1,r_8_12,NA
4001,1,1,r_8_13,NA
4001,1,1,r_8_14,NA
4001,1,1,r_8_15,NA
4001,1,1,r_8_16,NA
4001,1,1,r_8_18,NA
4001,1,1,r_8_19,NA
4001,1,1,r_8_2,NA
4001,1,1,r_8_3,NA
4001,1,1,r_8_4,NA
4001,1,1,r_8_5,NA
4001,1,1,r_8_6,NA
4001,1,1,r_8_7,NA
4001,1,1,r_8_8,NA
4001,1,1,r_8_9,NA
4001,1,1,r_9_1,NA
4001,1,1,r_9_10,NA
4001,1,1,r_9_11,NA
4001,1,1,r_9_12,NA
4001,1,1,r_9_13,NA
4001,1,1,r_9_14,NA
4001,1,1,r_9_15,NA
4001,1,1,r_9_16,NA
4001,1,1,r_9_18,NA
4001,1,1,r_9_19,NA
4001,1,1,r_9_2,NA
4001,1,1,r_9_3,NA
4001,1,1,r_9_4,NA
4001,1,1,r_9_5,NA
4001,1,1,r_9_6,NA
4001,1,1,r_9_7,NA
4001,1,1,r_9_8,NA
4001,1,1,r_9_9,NA
4001,1,1,study_design,1
4001,1,1,study_design_text,NA
4001,1,1,study_intention,0
4001,1,1,study_sample,1
4001,1,1,study_sample_text,NA
4001,1,1,var_18_text,NA
4001,1,1,var_19_text,NA
4001,1,1,variables,"3,11"
4002,1,1,age_adolescents,1
4002,1,1,age_adults,0
4002,1,1,age_children,0
4002,1,1,country,24
4002,1,1,ingroup,Turkish‐ and Moroccan‐origin minority students
4002,1,1,items_1,NA
4002,1,1,items_10,NA
4002,1,1,items_11,NA
4002,1,1,items_12,NA
4002,1,1,items_13,NA
4002,1,1,items_14,NA
4002,1,1,items_15,"Strength of minority identification was measured with two questions. First participants reported their group membership(s) in response to the question: ‘Some people feel that they are members of several groups. Which, if any, of the following groups are you a member of?’ In addition to the Belgian or Flemish majority groups, participants could choose several minority groups, including Turks or Kurds as minority identities for Turkish Belgians and Moroccans or Berbers as minority identities for Moroccan‐Belgians. Next, participants rated how important this minority identity was for them: ‘How strongly do you feel you belong to this group?’ Answers were given on a 4‐point scale, ranging from 1 (very weakly ) to 4 (very strongly ). When they had selected more than one identity (e.g., both Kurdish and Turkish), they were asked to think of the minority group that they felt most strongly about while rating the importance of their ethnic identity (CILS4EU, 2016). When they had not selected or rated any minority identity in the list (neither as Turk, Kurd, Berber, nor Moroccan), they were assigned the lowest score of 1. M =  2.88, SD  = 1.26."
4002,1,1,items_16,"Attitude towards the majority group was measured with a feeling thermometer: ‘Please rate how you feel about the following groups in Belgium on a scale that runs from 0 to 100. The higher the number, the more positive you feel, and the lower the number the more negative you feel towards this group’. Attitude towards the majority group was then measured with feelings towards ‘Belgians’ (CILS4EU, 2016), M  = 65.79, SD =  24.07."
4002,1,1,items_18,NA
4002,1,1,items_19,NA
4002,1,1,items_2,NA
4002,1,1,items_3,"Positive majority contact was measured as the average score of three items referring to positive contact experiences in the form of friendship and voluntary contact, for example, ‘How many of your friends have a Belgian background’ (1 – some to 5 – almost all or all) and ‘How often do you spend time during your school break with peers with a Belgian background?’ ‘How often do you spend time in the neighbourhood where you live with peers with a Belgian background?’ (1 – never to 5 – every day ) (CILS4EU, 2016), α = .75, M  = 2.83, SD  = 1.23."
4002,1,1,items_4,NA
4002,1,1,items_5,NA
4002,1,1,items_6,NA
4002,1,1,items_7,NA
4002,1,1,items_8,"Experiences of discrimination were measured with one item: ‘How often are you discriminated against, treated unfairly or with hostility at school?’ (CILS4EU, 2016). Answers were given on a 4‐point scale, from (after recoding) 1 (never ) to 4 (almost always ), M  = 1.32, SD  = 0.66. As distinct from individual experiences of discrimination, we assessed collective discrimination experiences by aggregating (averaging) individual ratings over all Turkish and Moroccan minority students (based on their parentage) within each classroom."
4002,1,1,items_9,NA
4002,1,1,n,1251
4002,1,1,outgroup,Belgians
4002,1,1,r_1_1,NA
4002,1,1,r_1_10,NA
4002,1,1,r_1_11,NA
4002,1,1,r_1_12,NA
4002,1,1,r_1_13,NA
4002,1,1,r_1_14,NA
4002,1,1,r_1_15,NA
4002,1,1,r_1_16,NA
4002,1,1,r_1_18,NA
4002,1,1,r_1_19,NA
4002,1,1,r_1_2,NA
4002,1,1,r_1_3,NA
4002,1,1,r_1_4,NA
4002,1,1,r_1_5,NA
4002,1,1,r_1_6,NA
4002,1,1,r_1_7,NA
4002,1,1,r_1_8,NA
4002,1,1,r_1_9,NA
4002,1,1,r_10_1,NA
4002,1,1,r_10_10,NA
4002,1,1,r_10_11,NA
4002,1,1,r_10_12,NA
4002,1,1,r_10_13,NA
4002,1,1,r_10_14,NA
4002,1,1,r_10_15,NA
4002,1,1,r_10_16,NA
4002,1,1,r_10_18,NA
4002,1,1,r_10_19,NA
4002,1,1,r_10_2,NA
4002,1,1,r_10_3,NA
4002,1,1,r_10_4,NA
4002,1,1,r_10_5,NA
4002,1,1,r_10_6,NA
4002,1,1,r_10_7,NA
4002,1,1,r_10_8,NA
4002,1,1,r_10_9,NA
4002,1,1,r_11_1,NA
4002,1,1,r_11_10,NA
