id,coder,n_samples,sample,item,response
93,Coder 1,1,1,r_12_12,NA
93,Coder 1,1,1,r_12_13,NA
93,Coder 1,1,1,r_12_14,NA
93,Coder 1,1,1,r_12_15,NA
93,Coder 1,1,1,r_12_16,NA
93,Coder 1,1,1,r_12_17,NA
93,Coder 1,1,1,r_12_18,NA
93,Coder 1,1,1,r_12_19,NA
93,Coder 1,1,1,r_12_20,NA
93,Coder 1,1,1,r_12_21,NA
93,Coder 1,1,1,r_13_1,NA
93,Coder 1,1,1,r_13_2,NA
93,Coder 1,1,1,r_13_3,NA
93,Coder 1,1,1,r_13_4,NA
93,Coder 1,1,1,r_13_5,NA
93,Coder 1,1,1,r_13_6,NA
93,Coder 1,1,1,r_13_7,NA
93,Coder 1,1,1,r_13_8,NA
93,Coder 1,1,1,r_13_9,NA
93,Coder 1,1,1,r_13_10,NA
93,Coder 1,1,1,r_13_11,NA
93,Coder 1,1,1,r_13_12,NA
93,Coder 1,1,1,r_13_13,NA
93,Coder 1,1,1,r_13_14,NA
93,Coder 1,1,1,r_13_15,NA
93,Coder 1,1,1,r_13_16,NA
93,Coder 1,1,1,r_13_17,NA
93,Coder 1,1,1,r_13_18,NA
93,Coder 1,1,1,r_13_19,NA
93,Coder 1,1,1,r_13_20,NA
93,Coder 1,1,1,r_13_21,NA
93,Coder 1,1,1,r_14_1,NA
93,Coder 1,1,1,r_14_2,NA
93,Coder 1,1,1,r_14_3,NA
93,Coder 1,1,1,r_14_4,NA
93,Coder 1,1,1,r_14_5,NA
93,Coder 1,1,1,r_14_6,NA
93,Coder 1,1,1,r_14_7,NA
93,Coder 1,1,1,r_14_8,NA
93,Coder 1,1,1,r_14_9,NA
93,Coder 1,1,1,r_14_10,NA
93,Coder 1,1,1,r_14_11,NA
93,Coder 1,1,1,r_14_12,NA
93,Coder 1,1,1,r_14_13,NA
93,Coder 1,1,1,r_14_14,1
93,Coder 1,1,1,r_14_15,NA
93,Coder 1,1,1,r_14_16,NA
93,Coder 1,1,1,r_14_17,0.43
93,Coder 1,1,1,r_14_18,NA
93,Coder 1,1,1,r_14_19,NA
93,Coder 1,1,1,r_14_20,NA
93,Coder 1,1,1,r_14_21,NA
93,Coder 1,1,1,r_15_1,NA
93,Coder 1,1,1,r_15_2,NA
93,Coder 1,1,1,r_15_3,NA
93,Coder 1,1,1,r_15_4,NA
93,Coder 1,1,1,r_15_5,NA
93,Coder 1,1,1,r_15_6,NA
93,Coder 1,1,1,r_15_7,NA
93,Coder 1,1,1,r_15_8,NA
93,Coder 1,1,1,r_15_9,NA
93,Coder 1,1,1,r_15_10,NA
93,Coder 1,1,1,r_15_11,NA
93,Coder 1,1,1,r_15_12,NA
93,Coder 1,1,1,r_15_13,NA
93,Coder 1,1,1,r_15_14,NA
93,Coder 1,1,1,r_15_15,NA
93,Coder 1,1,1,r_15_16,NA
93,Coder 1,1,1,r_15_17,NA
93,Coder 1,1,1,r_15_18,NA
93,Coder 1,1,1,r_15_19,NA
93,Coder 1,1,1,r_15_20,NA
93,Coder 1,1,1,r_15_21,NA
93,Coder 1,1,1,r_16_1,NA
93,Coder 1,1,1,r_16_2,NA
93,Coder 1,1,1,r_16_3,NA
93,Coder 1,1,1,r_16_4,NA
93,Coder 1,1,1,r_16_5,NA
93,Coder 1,1,1,r_16_6,NA
93,Coder 1,1,1,r_16_7,NA
93,Coder 1,1,1,r_16_8,NA
93,Coder 1,1,1,r_16_9,NA
93,Coder 1,1,1,r_16_10,NA
93,Coder 1,1,1,r_16_11,NA
93,Coder 1,1,1,r_16_12,NA
93,Coder 1,1,1,r_16_13,NA
93,Coder 1,1,1,r_16_14,NA
93,Coder 1,1,1,r_16_15,NA
93,Coder 1,1,1,r_16_16,NA
93,Coder 1,1,1,r_16_17,NA
93,Coder 1,1,1,r_16_18,NA
93,Coder 1,1,1,r_16_19,NA
93,Coder 1,1,1,r_16_20,NA
93,Coder 1,1,1,r_16_21,NA
93,Coder 1,1,1,r_17_1,NA
93,Coder 1,1,1,r_17_2,NA
93,Coder 1,1,1,r_17_3,NA
93,Coder 1,1,1,r_17_4,NA
93,Coder 1,1,1,r_17_5,NA
93,Coder 1,1,1,r_17_6,NA
93,Coder 1,1,1,r_17_7,NA
93,Coder 1,1,1,r_17_8,NA
93,Coder 1,1,1,r_17_9,NA
93,Coder 1,1,1,r_17_10,NA
93,Coder 1,1,1,r_17_11,NA
93,Coder 1,1,1,r_17_12,NA
93,Coder 1,1,1,r_17_13,NA
93,Coder 1,1,1,r_17_14,NA
93,Coder 1,1,1,r_17_15,NA
93,Coder 1,1,1,r_17_16,NA
93,Coder 1,1,1,r_17_17,1
93,Coder 1,1,1,r_17_18,NA
93,Coder 1,1,1,r_17_19,NA
93,Coder 1,1,1,r_17_20,NA
93,Coder 1,1,1,r_17_21,NA
93,Coder 1,1,1,r_18_text,NA
93,Coder 1,1,1,r_18_1,NA
93,Coder 1,1,1,r_18_2,NA
93,Coder 1,1,1,r_18_3,NA
93,Coder 1,1,1,r_18_4,NA
93,Coder 1,1,1,r_18_5,NA
93,Coder 1,1,1,r_18_6,NA
93,Coder 1,1,1,r_18_7,NA
93,Coder 1,1,1,r_18_8,NA
93,Coder 1,1,1,r_18_9,NA
93,Coder 1,1,1,r_18_10,NA
93,Coder 1,1,1,r_18_11,NA
93,Coder 1,1,1,r_18_12,NA
93,Coder 1,1,1,r_18_13,NA
93,Coder 1,1,1,r_18_14,NA
93,Coder 1,1,1,r_18_15,NA
93,Coder 1,1,1,r_18_16,NA
93,Coder 1,1,1,r_18_17,NA
93,Coder 1,1,1,r_18_18,NA
93,Coder 1,1,1,r_18_19,NA
93,Coder 1,1,1,r_18_20,NA
93,Coder 1,1,1,r_18_21,NA
93,Coder 1,1,1,r_19_text,NA
93,Coder 1,1,1,r_19_1,NA
93,Coder 1,1,1,r_19_2,NA
93,Coder 1,1,1,r_19_3,NA
93,Coder 1,1,1,r_19_4,NA
93,Coder 1,1,1,r_19_5,NA
93,Coder 1,1,1,r_19_6,NA
93,Coder 1,1,1,r_19_7,NA
93,Coder 1,1,1,r_19_8,NA
93,Coder 1,1,1,r_19_9,NA
93,Coder 1,1,1,r_19_10,NA
93,Coder 1,1,1,r_19_11,NA
93,Coder 1,1,1,r_19_12,NA
93,Coder 1,1,1,r_19_13,NA
93,Coder 1,1,1,r_19_14,NA
93,Coder 1,1,1,r_19_15,NA
93,Coder 1,1,1,r_19_16,NA
93,Coder 1,1,1,r_19_17,NA
93,Coder 1,1,1,r_19_18,NA
93,Coder 1,1,1,r_19_19,NA
93,Coder 1,1,1,r_19_20,NA
93,Coder 1,1,1,r_19_21,NA
93,Coder 1,1,1,r_20_text,NA
93,Coder 1,1,1,r_20_1,NA
93,Coder 1,1,1,r_20_2,NA
93,Coder 1,1,1,r_20_3,NA
93,Coder 1,1,1,r_20_4,NA
93,Coder 1,1,1,r_20_5,NA
93,Coder 1,1,1,r_20_6,NA
93,Coder 1,1,1,r_20_7,NA
93,Coder 1,1,1,r_20_8,NA
93,Coder 1,1,1,r_20_9,NA
93,Coder 1,1,1,r_20_10,NA
93,Coder 1,1,1,r_20_11,NA
93,Coder 1,1,1,r_20_12,NA
93,Coder 1,1,1,r_20_13,NA
93,Coder 1,1,1,r_20_14,NA
93,Coder 1,1,1,r_20_15,NA
93,Coder 1,1,1,r_20_16,NA
93,Coder 1,1,1,r_20_17,NA
93,Coder 1,1,1,r_20_18,NA
93,Coder 1,1,1,r_20_19,NA
93,Coder 1,1,1,r_20_20,NA
93,Coder 1,1,1,r_20_21,NA
93,Coder 1,1,1,r_21_text,NA
93,Coder 1,1,1,r_21_1,NA
93,Coder 1,1,1,r_21_2,NA
93,Coder 1,1,1,r_21_3,NA
93,Coder 1,1,1,r_21_4,NA
93,Coder 1,1,1,r_21_5,NA
93,Coder 1,1,1,r_21_6,NA
93,Coder 1,1,1,r_21_7,NA
93,Coder 1,1,1,r_21_8,NA
93,Coder 1,1,1,r_21_9,NA
93,Coder 1,1,1,r_21_10,NA
93,Coder 1,1,1,r_21_11,NA
93,Coder 1,1,1,r_21_12,NA
93,Coder 1,1,1,r_21_13,NA
93,Coder 1,1,1,r_21_14,NA
93,Coder 1,1,1,r_21_15,NA
93,Coder 1,1,1,r_21_16,NA
93,Coder 1,1,1,r_21_17,NA
93,Coder 1,1,1,r_21_18,NA
93,Coder 1,1,1,r_21_19,NA
93,Coder 1,1,1,r_21_20,NA
93,Coder 1,1,1,r_21_21,NA
93,Coder 1,1,1,comments,NA
1658,Coder 1,3,1,name,U.S.-born blacks
1658,Coder 1,3,1,n,502
1658,Coder 1,3,1,variables,"2,3,8"
1658,Coder 1,3,1,var_18_text,NA
1658,Coder 1,3,1,var_19_text,NA
1658,Coder 1,3,1,var_20_text,NA
1658,Coder 1,3,1,var_21_text,NA
1658,Coder 1,3,1,r_reported,1
1658,Coder 1,3,1,b_reported,0
1658,Coder 1,3,1,other_reported,0
1658,Coder 1,3,1,longitudinal,0
1658,Coder 1,3,1,items_1,NA
1658,Coder 1,3,1,items_2,"Three separate items assessed respondents’ contact frequency in relation to each of the other groups by asking how often they ‘‘interact with [whites/blacks/ immigrants from Mexico/immigrants from India]’’ across three social spaces, including ‘‘at your job’’ (workplace), ‘‘around your home or in your neighborhood’’ (neighborhood), and ‘‘outside of your neighborhood’’ such as ‘‘at restaurants, stores, and malls’’ (public spaces). Responses to these items ranged from 0 (never) to 3 (often); these responses were summed to create overall measures of contact frequency across social spaces for respondents from each group in relation to each of the other groups."
1658,Coder 1,3,1,items_3,"Contact quality was assessed in two ways. First, those respondents who reported some degree of contact with the specified group were asked about the friendliness of contact with that group across the three social spaces; specifically, ‘‘when you interact with [whites/blacks/ immigrants from Mexico/immigrants from India] [at work/around your home or in your neighborhood/at restaurants, stores, and malls], does the contact with them generally feel . . . ’’ with responses ranging from –2 (very unfriendly) to 12 (very friendly). Responses to these items were averaged to create a composite measure of contact friendliness across social spaces for respondents from each group in relation to each of the other groups. Internal consistency for these composite measures was evaluated using the congeneric confirmatory factor analysis–based model of scale reliability (Graham 2006; Raykov 1997).4 Specifically, scale reliability was calculated using coefficient omega (v) with a 95 percent bias-corrected bootstrap (BC) confidence interval (Raykov 1997). 5 Estimates of reliability (v) for the contact friendliness measures ranged between .50 and .62 among whites, .51 and .62 among blacks, .72 and .76 among Mexicans, and .52 and .66 among Indians."
1658,Coder 1,3,1,items_4,NA
1658,Coder 1,3,1,items_5,NA
1658,Coder 1,3,1,items_6,NA
1658,Coder 1,3,1,items_7,NA
1658,Coder 1,3,1,items_8,"Respondents also indicated how often they have perceived discrimination from each of the other groups. Specifically, they completed three versions of the following item, adapted for respondents from each metropolitan area: ‘‘Thinking about your experiences in [greater Philadelphia/Atlanta], how often would you say you have been treated unfairly or poorly by [whites/blacks/immigrants from Mexico/immigrants from India]?’’. Item responses ranged from 0 (never) to 3 (often)."
1658,Coder 1,3,1,items_9,NA
1658,Coder 1,3,1,items_10,NA
1658,Coder 1,3,1,items_11,NA
1658,Coder 1,3,1,items_12,NA
1658,Coder 1,3,1,items_13,NA
1658,Coder 1,3,1,items_14,NA
1658,Coder 1,3,1,items_15,NA
1658,Coder 1,3,1,items_16,NA
1658,Coder 1,3,1,items_17,NA
1658,Coder 1,3,1,items_18,NA
1658,Coder 1,3,1,items_19,NA
1658,Coder 1,3,1,items_20,NA
1658,Coder 1,3,1,items_21,NA
1658,Coder 1,3,1,r_1_1,NA
1658,Coder 1,3,1,r_1_2,NA
1658,Coder 1,3,1,r_1_3,NA
1658,Coder 1,3,1,r_1_4,NA
1658,Coder 1,3,1,r_1_5,NA
1658,Coder 1,3,1,r_1_6,NA
1658,Coder 1,3,1,r_1_7,NA
1658,Coder 1,3,1,r_1_8,NA
1658,Coder 1,3,1,r_1_9,NA
1658,Coder 1,3,1,r_1_10,NA
1658,Coder 1,3,1,r_1_11,NA
1658,Coder 1,3,1,r_1_12,NA
1658,Coder 1,3,1,r_1_13,NA
1658,Coder 1,3,1,r_1_14,NA
1658,Coder 1,3,1,r_1_15,NA
1658,Coder 1,3,1,r_1_16,NA
1658,Coder 1,3,1,r_1_17,NA
1658,Coder 1,3,1,r_1_18,NA
1658,Coder 1,3,1,r_1_19,NA
1658,Coder 1,3,1,r_1_20,NA
1658,Coder 1,3,1,r_1_21,NA
1658,Coder 1,3,1,r_2_1,NA
1658,Coder 1,3,1,r_2_2,1
1658,Coder 1,3,1,r_2_3,0.19
1658,Coder 1,3,1,r_2_4,NA
1658,Coder 1,3,1,r_2_5,NA
1658,Coder 1,3,1,r_2_6,NA
1658,Coder 1,3,1,r_2_7,NA
1658,Coder 1,3,1,r_2_8,0.06
1658,Coder 1,3,1,r_2_9,NA
1658,Coder 1,3,1,r_2_10,NA
1658,Coder 1,3,1,r_2_11,NA
1658,Coder 1,3,1,r_2_12,NA
1658,Coder 1,3,1,r_2_13,NA
1658,Coder 1,3,1,r_2_14,NA
1658,Coder 1,3,1,r_2_15,NA
1658,Coder 1,3,1,r_2_16,NA
1658,Coder 1,3,1,r_2_17,NA
1658,Coder 1,3,1,r_2_18,NA
1658,Coder 1,3,1,r_2_19,NA
1658,Coder 1,3,1,r_2_20,NA
1658,Coder 1,3,1,r_2_21,NA
1658,Coder 1,3,1,r_3_1,NA
1658,Coder 1,3,1,r_3_2,NA
1658,Coder 1,3,1,r_3_3,1
1658,Coder 1,3,1,r_3_4,NA
1658,Coder 1,3,1,r_3_5,NA
1658,Coder 1,3,1,r_3_6,NA
1658,Coder 1,3,1,r_3_7,NA
1658,Coder 1,3,1,r_3_8,-0.25
1658,Coder 1,3,1,r_3_9,NA
1658,Coder 1,3,1,r_3_10,NA
1658,Coder 1,3,1,r_3_11,NA
1658,Coder 1,3,1,r_3_12,NA
1658,Coder 1,3,1,r_3_13,NA
1658,Coder 1,3,1,r_3_14,NA
1658,Coder 1,3,1,r_3_15,NA
1658,Coder 1,3,1,r_3_16,NA
1658,Coder 1,3,1,r_3_17,NA
1658,Coder 1,3,1,r_3_18,NA
1658,Coder 1,3,1,r_3_19,NA
1658,Coder 1,3,1,r_3_20,NA
1658,Coder 1,3,1,r_3_21,NA
1658,Coder 1,3,1,r_4_1,NA
1658,Coder 1,3,1,r_4_2,NA
1658,Coder 1,3,1,r_4_3,NA
1658,Coder 1,3,1,r_4_4,NA
1658,Coder 1,3,1,r_4_5,NA
1658,Coder 1,3,1,r_4_6,NA
1658,Coder 1,3,1,r_4_7,NA
1658,Coder 1,3,1,r_4_8,NA
1658,Coder 1,3,1,r_4_9,NA
1658,Coder 1,3,1,r_4_10,NA
1658,Coder 1,3,1,r_4_11,NA
1658,Coder 1,3,1,r_4_12,NA
1658,Coder 1,3,1,r_4_13,NA
1658,Coder 1,3,1,r_4_14,NA
1658,Coder 1,3,1,r_4_15,NA
1658,Coder 1,3,1,r_4_16,NA
1658,Coder 1,3,1,r_4_17,NA
1658,Coder 1,3,1,r_4_18,NA
1658,Coder 1,3,1,r_4_19,NA
1658,Coder 1,3,1,r_4_20,NA
1658,Coder 1,3,1,r_4_21,NA
1658,Coder 1,3,1,r_5_1,NA
1658,Coder 1,3,1,r_5_2,NA
1658,Coder 1,3,1,r_5_3,NA
1658,Coder 1,3,1,r_5_4,NA
1658,Coder 1,3,1,r_5_5,NA
1658,Coder 1,3,1,r_5_6,NA
1658,Coder 1,3,1,r_5_7,NA
1658,Coder 1,3,1,r_5_8,NA
1658,Coder 1,3,1,r_5_9,NA
