coder,id,var,text,name,outgroup,ic_quality
Coder 2,1411,pc,"Quality of contact was measured by sixteen items using five-point ordinal scales. The items referred to four aspects of the quality of contact, namely: goodness, closeness, equality, and cooperativeness (Allport 1954; Pettigrew and Tropp 2006). For example, the four variables for interreligious contact with neighbors were: ‘‘How would you rate your contact with Christians (Muslims) as neighbors?’’ on a scale ranging from 1 = very negative to 5 = very positive; ‘‘How close are you to your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = not close at all to 5 = very close; ‘‘How equal would you say you are to your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = not equal at all to 5 = very equal; and ‘‘How much do you cooperate with your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = do not cooperate at all to 5 = cooperate a lot. As in the case of quantity of contact, the questions were repeated for other types of contact (i.e., friends, classmates, dorm mates). Factor analysis with an oblimin rotation indicated a three-factor structure: goodness, closeness/cooperativeness, and equality. However, because the factors were highly correlated (.59\r\.76), they were averaged to form a reliable index (Christians a = .93; Muslims a = .97). Higher scores indicate higher quality of interreligious contact.",Contact quality / Positive contact,Muslims,Yes
Coder 1,1412,cq,"The independent variable – intergroup contact – was measured by a single item: ‘How many of those you talk to on a regular basis are Danes?’ This item has four response categories –‘all of them’, ‘the vast majority’, ‘about half of them’, ‘a few’ and ‘none’ (plus a ‘don’t know’ category). This measure was subsequently treated as a metric variable and rescaled to vary from 0 to 1, higher values indicating greater contact intensity (‘don’t know’ responses were excluded from the empirical analyses).",Contact quantity,Danes,No
Coder 2,1412,cq,"The independent variable – intergroup contact – was measured by a single item: ‘How many of those you talk to on a regular basis are Danes?’ This item has four response categories –‘all of them’, ‘the vast majority’, ‘about half of them’, ‘a few’ and ‘none’ (plus a ‘don’t know’ category). This measure was subsequently treated as a metric variable and rescaled to vary from 0 to 1, higher values indicating greater contact intensity (‘don’t know’ responses were excluded from the empirical analyses).",Contact quantity,Danes,No
Coder 1,1494,cf,"I use three measures of interracial contact. Friendship contact measures the proportion of the respondent’s friendship network that are racial out-group members. The variable is measured on a 3-point scale ranging from all same-race friends, coded as 1, to half or more different-race friends, coded as 3.",Cross-group friendship,White Americans,No
Coder 2,1494,cf,"I use three measures of interracial contact. Friendship contact measures the proportion of the respondent’s friendship network that are racial out-group members. The variable is measured on a 3-point scale ranging from all same-race friends, coded as 1, to half or more different-race friends, coded as 3.",Cross-group friendship,White Americans,No
Coder 1,1494,cf,same as sample 3,Cross-group friendship,White Americans,No
Coder 2,1494,cf,same as sample 3,Cross-group friendship,White Americans,No
Coder 1,1494,cq,"Finally, neighborhood interracial contact measures the frequency of interacting with racial out-groups within one’s neighborhood. The variable is measured on a 5-point scale ranging from “never/less than once per year”, coded as 1, to “almost every day”, coded as 5.",Neighbourhood Contact,White Americans,No
Coder 2,1494,cq,"Finally, neighborhood interracial contact measures the frequency of interacting with racial out-groups within one’s neighborhood. The variable is measured on a 5-point scale ranging from “never/less than once per year”, coded as 1, to “almost every day”, coded as 5.",Neighbourhood Contact,White Americans,No
Coder 1,1494,cq,same as sample 3,Neighbourhood Contact,White Americans,No
Coder 2,1494,cq,same as sample 3,Neighbourhood Contact,White Americans,No
Coder 1,1494,cq,"Respondents also reported their frequency of workplace contact with out-groups. The variable is measured on a 3-point scale ranging from 1, indicating “never” to 3, indicating “almost everyday.” Those not currently holding jobs (retired, students, those with disabilities, housewives and the unemployed) were coded as having no workplace contact.",Workplace Contact,White Americans,No
Coder 2,1494,cq,"Respondents also reported their frequency of workplace contact with out-groups. The variable is measured on a 3-point scale ranging from 1, indicating “never” to 3, indicating “almost everyday.” Those not currently holding jobs (retired, students, those with disabilities, housewives and the unemployed) were coded as having no workplace contact.",Workplace Contact,White Americans,No
Coder 1,1494,cq,same as sample 3,Workplace Contact,White Americans,No
Coder 2,1494,cq,same as sample 3,Workplace Contact,White Americans,No
Coder 1,1525,cf,"Ethnic peer preferences. Modeled after singleitem assessments high in face validity and used effectively in other research areas [e.g., attachment questionnaires (Hazan & Shaver, 1987); healthrelated quality of life (Cunny & Perri, 1991)], adolescents were asked, “Think about the friends that you hang out with. Are your friends mostly of your same ethnicity or of a different ethnicity?”",Cross-group friendship,White Americans,No
Coder 2,1525,cf,"Ethnic peer preferences. Modeled after singleitem assessments high in face validity and used effectively in other research areas [e.g., attachment questionnaires (Hazan & Shaver, 1987); healthrelated quality of life (Cunny & Perri, 1991)], adolescents were asked, “Think about the friends that you hang out with. Are your friends mostly of your same ethnicity or of a different ethnicity?”",Cross-group friendship,White Americans,No
Coder 2,1549,cf,"Close Personal Contact To examine the effects of interracial contad upon attitudes toward affirmative action policies, two independent variables were created. The first variable is a composite of two survey questions and is designed to explore the impact of close personal contad. People were asked a pair of yes/no questions. One question asked if they consider anyone of the other race to be a good friend. The second question asked if any acquaintances or casual friends that they keep in touch with are members of the other race. Both questions were recoded so respondents answering affirmatively that they had good friends or close acquaintances of the other race = 0 , not having friends or close acquaintances = 1. The questions used in this study are nearly identical to questions asked in similar studies (e.g., Jackman & Crane 1986; Sigelman & Welch 1993).",Cross-group friendship,White Americans,No
Coder 1,1549,cf,"Close Personal Contact To examine the effects of interracial contad upon attitudes toward affirmative action policies, two independent variables were created. The first variable is a composite of two survey questions and is designed to explore the impact of close personal contad. People were asked a pair of yes/no questions. One question asked if they consider anyone of the other race to be a good friend. The second question asked if any acquaintances or casual friends that they keep in touch with are members of the other race. Both questions were recoded so respondents answering affirmatively that they had good friends or close acquaintances of the other race = 0 , not having friends or close acquaintances = 1. The questions used in this study are nearly identical to questions asked in similar studies (e.g., Jackman & Crane 1986; Sigelman & Welch 1993).",Cross-group friendship,White Americans,Yes
Coder 1,1549,cq,"Casual Contact The second variable is a composite of five survey questions and is designed to measure casual interracial contact. Most studies in the past have used indirect indicators of casual contact, such as asking respondents for the racial composition of their neighborhood or even that of the local school. To make  this type of data useful, the respondent must possess an accurate estimate of the racial composition of his or her surroundings. This alone is problematic, as estimating the size of a minority population by respondents is rarely accurate and accuracy varies depending upon many variables (Nadeau et al. 1993). Even  when the researcher can get away from these estimating problems, there remains  an implied assumption that individuals who operate within integrated settings will actually have interpersonal contact with members of the out-group. The present study relieves us of these vexing assumptions by utilizing a much more direct indicator of interracial contact. These five questions, which constitute the second  independent variable, examine the level of casual contact individuals have with  members of the out-group while going about their life’s activities in the public arena. All respondents were asked how often they have conversations with members of the other race while on the job, shopping, at events with their children, at church and at entertainment venues. All five questions were recoded so that those responding that they have interracial conversations frequently = 0 , sometimes = .5, and never = 1.",Contact quantity,White Americans,No
Coder 2,1549,cq,"Casual Contact The second variable is a composite of five survey questions and is designed to measure casual interracial contact. Most studies in the past have used indirect indicators of casual contact, such as asking respondents for the racial composition of their neighborhood or even that of the local school. To make  this type of data useful, the respondent must possess an accurate estimate of the racial composition of his or her surroundings. This alone is problematic, as estimating the size of a minority population by respondents is rarely accurate and accuracy varies depending upon many variables (Nadeau et al. 1993). Even  when the researcher can get away from these estimating problems, there remains  an implied assumption that individuals who operate within integrated settings will actually have interpersonal contact with members of the out-group. The present study relieves us of these vexing assumptions by utilizing a much more direct indicator of interracial contact. These five questions, which constitute the second  independent variable, examine the level of casual contact individuals have with  members of the out-group while going about their life’s activities in the public arena. All respondents were asked how often they have conversations with members of the other race while on the job, shopping, at events with their children, at church and at entertainment venues. All five questions were recoded so that those responding that they have interracial conversations frequently = 0 , sometimes = .5, and never = 1.",Contact quantity,White Americans,No
Coder 1,1576,oc,"Contact opportunity was tested through a measure of neighborhood density that tapped common, everyday opportunities for contact with non-Chinese residents. Responses were combined into three categories: ~1! all and mostly Chinese, ~2! some Chinese, and ~3! few Chinese and no Chinese.",Opportunity for contact,White Americans,No
Coder 2,1576,oc,"Contact opportunity was tested through a measure of neighborhood density that tapped common, everyday opportunities for contact with non-Chinese residents. Responses were combined into three categories: ~1! all and mostly Chinese, ~2! some Chinese, and ~3! few Chinese and no Chinese.",Opportunity for contact,White Americans,No
Coder 1,1614,cf,"Cross-group friendships the Turkish and Kurdish participants were asked to indicate how many of their close friends were, respectively, Kurdish and Turkish. A five-point scale was used with the response categories, None (1), Around 1/4th (2), Around half (3), Around 3/4rd (4), and Almost all (5).",Cross-group friendship,Turks,Yes
Coder 2,1614,cf,"Cross-group friendships the Turkish and Kurdish participants were asked to indicate how many of their close friends were, respectively, Kurdish and Turkish. A five-point scale was used with the response categories, None (1), Around 1/4th (2), Around half (3), Around 3/4rd (4), and Almost all (5).",Cross-group friendship,Turks,Yes
Coder 1,1658,cq,"Three separate items assessed respondents’ contact frequency in relation to each of the other groups by asking how often they ‘‘interact with [whites/blacks/ immigrants from Mexico/immigrants from India]’’ across three social spaces, including ‘‘at your job’’ (workplace), ‘‘around your home or in your neighborhood’’ (neighborhood), and ‘‘outside of your neighborhood’’ such as ‘‘at restaurants, stores, and malls’’ (public spaces). Responses to these items ranged from 0 (never) to 3 (often); these responses were summed to create overall measures of contact frequency across social spaces for respondents from each group in relation to each of the other groups.",Contact quantity,White Americans,No
Coder 2,1658,cq,"Three separate items assessed respondents’ contact frequency in relation to each of the other groups by asking how often they ‘‘interact with [whites/blacks/ immigrants from Mexico/immigrants from India]’’ across three social spaces, including ‘‘at your job’’ (workplace), ‘‘around your home or in your neighborhood’’ (neighborhood), and ‘‘outside of your neighborhood’’ such as ‘‘at restaurants, stores, and malls’’ (public spaces). Responses to these items ranged from 0 (never) to 3 (often); these responses were summed to create overall measures of contact frequency across social spaces for respondents from each group in relation to each of the other groups.",Contact quantity,White Americans,No
Coder 1,1658,pc,"Contact quality was assessed in two ways. First, those respondents who reported some degree of contact with the specified group were asked about the friendliness of contact with that group across the three social spaces; specifically, ‘‘when you interact with [whites/blacks/ immigrants from Mexico/immigrants from India] [at work/around your home or in your neighborhood/at restaurants, stores, and malls], does the contact with them generally feel . . . ’’ with responses ranging from –2 (very unfriendly) to 12 (very friendly). Responses to these items were averaged to create a composite measure of contact friendliness across social spaces for respondents from each group in relation to each of the other groups. Internal consistency for these composite measures was evaluated using the congeneric confirmatory factor analysis–based model of scale reliability (Graham 2006; Raykov 1997).4 Specifically, scale reliability was calculated using coefficient omega (v) with a 95 percent bias-corrected bootstrap (BC) confidence interval (Raykov 1997). 5 Estimates of reliability (v) for the contact friendliness measures ranged between .50 and .62 among whites, .51 and .62 among blacks, .72 and .76 among Mexicans, and .52 and .66 among Indians.",Contact quality / Positive contact,White Americans,Yes
