coder,id,sample,q4,q5,q6,q7,q8,q8_4_text,q9,q9_6_text,q10
Coder 1,297,1,India,Muslims,Hindus,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,297,1,India,Muslims,Hindus,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,303,1,"Canada,Mexico,USA",Native young adults,Anglos/Whites,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,303,1,NA,Native north americans,Whites,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,317,1,USA,Korean American adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,317,1,USA,Korean American adolescents,Non-Korean Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,317,2,USA,Cambodian American adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,317,2,USA,Cambodian-American Adolescent,Non-Cambodian-Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,317,3,USA,Vietnamese American adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,317,3,USA,Vietnamese-American Adolescents,Non-Vietnamese-Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,322,1,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,322,1,Turkey,Kurdish people in Turkey,Native Turks,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,324,1,USA,Black Americans,People from other racial groups,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,324,1,USA,Black Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,324,2,USA,Hispanic Americans,People from other racial groups,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,324,2,USA,Hispanic Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,325,1,USA,Multiracial Americans,People from other racial groups,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,325,1,USA,Multiracial Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,336,1,South Africa,Black South Africans,White South Africans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,336,1,NA,Black South Africans,White South Africans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,401,1,Germany,East Germans,West Germans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, longitudinal",NA,Yes
Coder 2,401,1,Germany,East Germans,West Germans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, longitudinal",NA,Yes
Coder 1,414,1,Turkey,Disabled people,Non-disabled people,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,414,1,Turkey,Disabled people,Non-disabled people,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,423,1,UK,Eastern European immigrants,British people,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,423,1,UK,Eastern European Immigrants in the UK,UK Natives,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,423,2,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,423,2,Turkey,Kurdish Turks,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,423,3,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,423,3,Turkey,Kurdish Turks,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,446,1,Netherlands,Turkish/Moroccan secondary-school students,People from other ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,446,1,Netherlands,Turkish/Morrocons in the Netherlands,Native Dutch people,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,446,2,Netherlands,Turkish/Moroccan secondary-school students,People from other ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,446,2,NA,Turkish and Morroccon-descent people in the Netherlands,Native Dutch people,"Adolescents
(13 - 18 years)",NA,NA,"observational, cross-sectional",NA,No
Coder 1,480,1,Costa Rica,Afro-Costa Ricans,People from other ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,480,1,NA,Afro-Costa Rican adolescents,White Costa Ricans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,609,1,China,Immigrants from Mainland China to Hong Kong,Hong Kong people,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,609,1,China,Migrants from Mainland China to Hong Kong,Natives of Hong Kong,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,668,1,Netherlands,Turkish immigrants,Dutch people,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,668,1,Netherlands,Turkish immigrants,Dutch natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,668,2,Netherlands,Moroccan immigrants,Dutch people,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,668,2,Netherlands,Moroccan immigrants,Dutch natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,668,3,Netherlands,Surinamese immigrants,Dutch people,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,668,3,Netherlands,Surinamese immigrants,Dutch natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,668,4,Netherlands,Antilean immigrants,Dutch people,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,668,4,Netherlands,Antilean immigrants,Dutch natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,703,1,USA,African American children,European Americans,"Children
(≤ 12 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,703,1,USA,African Americans,White Americans,"Children
(≤ 12 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,711,1,New Zealand,Chinese young adults,New Zealanders,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,711,1,New Zealand,Chinese immigrants,Native New Zealanders,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,711,2,Singapore,Chinese young adults,Singaporeans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,711,2,NA,Chinese international students,Native Singaporeans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,733,1,UK,Malaysian students,British people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,733,1,UK,Malaysian international students,Native British people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,775,1,Russia,Russians in Kabardino-Balkaria,Kabardians and Balkars,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,775,1,Russia,Russians,Balkars and Kabardians,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,783,1,Netherlands,Moroccan immigrants,Natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,783,1,Netherlands,Morrocan immigrants,Dutch natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,783,2,Netherlands,Turkish immigrants,Natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,783,2,Netherlands,Turkish immigrants,Dutch natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,789,1,Israel,Palestinians,Jews,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,quasi-experimental (no random assignment),NA,Yes
Coder 2,789,1,Israel,Palestinians,Israelis,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,quasi-experimental (no random assignment),NA,Yes
Coder 1,803,1,USA,Mexican Americans,Anglo/White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,803,1,USA,Mexican Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,813,1,USA,Disadvantaged minimal group,Advantaged minimal group,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 2,813,1,NA,Minimal disadvantaged group,Minimal advantaged group,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 1,813,2,Israel,Arabs,Jews,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,813,2,Israel,Arab Israelis,Jewish Israelis,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,823,1,USA,International students,US American students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,823,1,USA,International students,Native Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,829,1,"Finland,France,Germany,Netherlands,Norway,Sweden",Turkish adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,829,1,NA,Turkish adolescents,Native Europeans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,830,1,USA,Korean American adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,830,1,USA,Korean American Adolscents,White Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,830,2,USA,Vietnamese American adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,830,2,USA,Vietnamese American Adolescents,White Americans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,830,3,USA,Cambodian American adolescents,People from other ethnic groups,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,830,3,USA,Cambodian American Adolescents,White Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,856,1,Macedonia,Roma secondary-school students,Macedonians,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,856,1,Macedonia,Roma in Macedonia,Native Macedonians,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,893,1,UK,Catholics,Protestants,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,893,1,UK,Catholics in Northern Ireland,Protestants in Northern Ireland,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,894,1,USA,Chicano/Latinx/Mexican Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,894,1,USA,Chicano/Latinx/Mexican-Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,894,2,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,894,2,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 1,933,1,USA,Black Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,933,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,956,1,UK,Sexual-minority students,Heterosexual people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,956,1,UK,Sexual minorities,Heterosexuals,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,956,2,"Germany,UK",Sexual-minority students,Heterosexual/cisgender people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 2,956,2,UK,LGBT+,Non-LGBT+,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 1,1020,1,UK,Malaysian (Malay) students,British people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1020,1,UK,Malaysian students of Malay ethnicity,UK natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1020,2,UK,Malaysian (Chinese) students,British people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1020,2,UK,Malaysian students of Chinese ethnicity,UK natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1022,1,USA,Ethnic-minority medial students,People of different races or ethnicities,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1022,1,USA,Ethnic minorities,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1042,1,USA,Asian Americans,European Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1042,1,USA,Asian Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1042,2,USA,African Americans,European Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1042,2,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1045,1,USA,Ethnic-minority adolescents,People of a different race/ethnicity,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1045,1,USA,Ethnic minorities,White Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1114,1,Lebanon,Syrian refugees,Lebanese people,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1114,1,Lebanon,Syrian Refugees,Lebanese natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1161,1,USA,Mexican Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1161,1,USA,Mexican Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1163,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1163,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1221,1,USA,Hispanic Americans,People of a different race,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1221,1,USA,Hispanic Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1221,2,USA,Black Americans,People of a different race,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1221,2,USA,Black Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1221,3,USA,Native Americans,People of a different race,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1221,3,USA,Native Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1221,4,USA,Asian Americans,People of a different race,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1221,4,USA,Asian Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1248,1,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1248,1,Turkey,Kurds in Turkey,Native Kurds,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1283,1,UK,"Black, Asian, and other ethnic minorities",People from a different ethnic group,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1283,1,UK,Ethnic minorities,White British,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1367,1,USA,Low-wage workers,Higher earners,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1367,1,NA,Americans who identify as lower class,Americans who identify as upper class,NA,probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1368,1,USA,Adopted Korean American adolescents,People of various ethnic groups,"Adolescents
(13 - 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1368,1,USA,Korean Americans,White Americans,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1376,1,UK,Catholic students,Protestants,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1376,1,UK,Catholics in Northern Ireland,Protestants in Northern Ireland,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1386,1,South Africa,Black South Africans,White South Africans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1386,1,South Africa,Black South Africans,White South Africans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1395,1,China,International students in Hong Kong,Local students,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1395,1,China,International students Hong Kong,Hong Kong locals,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1407,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1407,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1407,2,USA,Black Caribbean Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1407,2,USA,Black Caribbean Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1411,1,Indonesia,Christians,Muslims,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1411,1,Indonesia,Christians in Indonesia,Muslims,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1412,1,Denmark,Ethnic minorities,Danes,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1412,1,Denmark,Ethnic minorities in Denmark,Danish Whites,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1467,1,USA,Students of colour,White students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,No
Coder 2,1467,1,USA,Ethnic minorities,Whites,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 1,1494,1,USA,African American adolescents,People from a different race,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1494,1,USA,African Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1494,2,USA,Hispanic adolescents and young adults,People of a different race,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1494,2,USA,Hispanic Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1494,3,USA,African American adults,People of a different race,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1494,3,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1494,4,USA,Hispanic adults,People of a different race,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1494,4,USA,Hispanic Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1525,1,USA,Asian American adolescents,People of a different ethnicity,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1525,1,USA,Asian Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1549,1,USA,Black Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1549,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",other,unclear,"observational, cross-sectional",NA,Yes
Coder 1,1576,1,USA,Chinese Americans,Non-Chinese Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
