id,author,year,title,journal,volume,issue,first_page,last_page,doi,abstract,keywords,type,status,source
284,"Cakal, Huseyin, Hewstone, Miles, Schwar, Gerhard, Heath, Anthony",2011,An investigation of the social identity model of collective action and the 'sedative' effect of intergroup contact among Black and White students in South Africa,British Journal of Social Psychology,50,4,606,627,10.1111/j.2044-8309.2011.02075.x,"Two studies investigated the role of intergroup contact in predicting collective action tendencies along with three key predictors proposed by the social identity model of collective action (SIMCA; Van Zomeren, Postmes, & Spears, 2008). Study 1 (N = 488 Black South African students) tested whether social identity would positively, whereas intergroup contact would negatively predict collective action and support for policies benefiting the ingroup. Study 2 (N = 244 White South African students) predicted whether social identity would positively predict collective action benefiting the ingroup, and intergroup contact would positively predict support for policies to benefit the Black outgroup. Both studies yielded evidence in support of the predictive power of social identity and contact on collective action and policy support. Additionally, Study 1 confirmed that intergroup contact moderated the effects of social identity on relative deprivation, and relative deprivation on collective action. Overall findings support an integration of SIMCA and intergroup contact theory, and provide a fuller understanding of the social psychological processes leading to collective action. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",social identity; collective action; sedative effects; intergroup contact; black students; white students; south africa,Journal Article,NA,PsycInfo
286,"Ulug, Ozden Melis, Cohrs, J. Christopher",2017,"""If we become friends, maybe I can change my perspective:"" Intergroup contact, endorsement of conflict narratives, and peace-related attitudes in Turkey",Peace and Conflict: Journal of Peace Psychology,23,3,278,287,10.1037/pac0000216,"Positive intergroup contact is effective in reducing prejudice in both high- and low-status groups. However, it is important to study the impact of contact between groups in conflict-ridden societies on additional outcomes, such as attitudes toward reconciliation and peace-related policies. The current conditions in Turkey offer the opportunity to study the relations between intergroup contact, endorsement of conflict narratives, and peace-related attitudes in 3 different groups: (a) the ethnic majority (Turks); (b) a subgroup within the ethnic majority who feel excluded due to their political preferences (i.e., participants in the recent Gezi Park protests who developed a common identity as ""capulcu"" [looter]); and (c) the ethnic minority (Kurds). Bivariate correlations and multigroup path analysis suggested that intergroup contact may not lead majority-status groups to support prominority conflict narratives, but may lead them to support prominority policies, whereas it may lead majority-status groups who feel excluded to support both prominority narratives and policies. Results also indicated that contact may be counterproductive for minority groups by altering their endorsement of specific conflict narratives, which then reduces their support for changes that would benefit their group. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",reconciliation; intergroup contact; conflict narratives; gezi park; kurdish conflict,Journal Article,NA,PsycInfo
297,"Mishra, Ramesh C, Bano, Shabana, Tripathi, Rama Charan",2017,Intercultural relations in India,NA,NA,NA,291,310,10.1017/9781316875032.014,"The MIRIPS study in India examines the intercultural relations between two groups: the Hindu majority and the Muslim minority. The tag of 'minority' in the case of Muslims in India is a recent appellation that followed the deepening of the discourse on the nation-state, driven largely by the Eurocentric paradigm, which sees nations as ethnically bounded and nation-states as exercising sovereignty over a territory. We seek to examine the conditions and processes that lead members of these two groups in India to make choices for creating spaces that are mutually shared or seemingly appropriated. India is moderately high on the diversity index, moderate on the integration index but very high on the policy index. In this study the three propositions of the MIRIPS hypotheses were evaluated in the context of relations of Hindu and Muslim groups in India. The main objectives of the study, thus, were: (1) To examine the mutual intercultural relations and to explore the relationship of intercultural strategies (both attitudes and expectations) with psychological and social well-being in Hindu and Muslim groups. (3) To determine how well security and contact predict intercultural strategies, and the three forms of adaptation (psychological, sociocultural and intercultural) and the well-being of members of the Hindu and Muslim groups. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",mutual intercultural relations; social issues; diversity; social integration; social contact; multiculturalism; government policy,Chapter,NA,PsycInfo
303,"Jones, Merrill L.
Jones
L.
Merrill
Jones, Merrill L.",2017,Attitudes and experiences of close interethnic friendships among Native emerging adults: A mixed-methods investigation,NA,NA,NA,NA,NA,NA,"This study included 114 Native adults and 6 Native/non-Native pairs of friends (age 18-25). Experiences and attitudes for close interethnic friendships were investigated. Friendship patterns and predictors were quantitatively assessed for the 114 Natives, with qualitative examination of the development and qualities of the six friend pairs. Results of quantitative analysis revealed that 80% of this sample reported friendship investment with Whites, and 55% reported friendship investment with sametribe members. Over 90% of participants were open to engaging in friendships with member of any ethnicity or race. Approximately 98% of participants reported being targeted for racial discrimination, with most reporting some distress, often at a low level. Significant positive correlates of past and future friendships with Whites included: household income in childhood, identification with White culture, racial/ethnic composition of students in college, multicultural experiences, and past support from parents. Multiple regressions included as significant predictors of past friendships: past parental support (t = 6.488, p &lt; .001), past multicultural experiences (t = 3.852, p &lt; .001), racial composition in college (t = 3.083, p = .003), and diversity climate in high school (t = 2.468, p = .015). Multiple regressions for future friendships with Whites revealed as significant predictors: past friendships (t = 5.187, p &lt; .001), and past parental support (t = 2.507, p = .014). Qualitative findings revealed authenticity/acceptance, communication, similarity, and trust as aspects of close friendships with non-Natives. Opportunities to share cultural teachings, and shared cultural interests helped friendships develop. Participants’ descriptions of their friendships largely coincided with contact/opportunity theories, with propinquity allowing homophily, reciprocation, and disclosure to develop within the friendship. All friendship pairs weathered periods of time during which contact between friends became infrequent, but all participants asserted that they were still close friends during those periods. Findings illuminate the prominence of interethnic friendships in the lives of Native youth, and positive intergroup attitudes expressed within those relationships.","social psychology , behavioral sciences , native american studies",Dissertation/Thesis,NA,ProQuest
317,"Kim, Tae Yeun
Kim
Yeun
Tae
Kim, Tae Yeun",2015,The influence of perceived racial discrimination on depressive symptoms and school outcomes among Asian American adolescents,NA,NA,NA,NA,NA,NA,"Asian American (AA) adolescents typically receive attention for their successful academic achievement, but rarely for their difficulties and problems. They show a paradoxical and unique developmental pattern of poor psychological well-being despite fewer problem behaviors and better school outcomes. To shed light on this unique pattern, the current study examines one of the factors that might be most important, although largely unexplored: racial discrimination. In addition, significant differences exist in youth outcomes across Asian subgroups. Specifically, this study examines how perceived racial discrimination influences depressive symptoms and school outcomes among three subgroups of AA adolescents, those of Cambodian, Korean, and Vietnamese dissent. It considers whether and how co-ethnic friendship, ethnic identity, and social support mediate the negative influence of perceived discrimination on depressive symptoms and school outcomes for Cambodian American (CA), Korean American (KA), and Vietnamese American (VA) adolescents. Two datasets were used: one from the Korean American Families (KAF) Project and the other from the Cross Cultural Families (CCF) Project. The KAF Project surveyed KA (n = 220) adolescents in middle school and their parents living in Midwest metropolitan areas in 2007 and 2008. The CCF Project is a five-year longitudinal study of a panel of CA (n = 164) and VA (n = 163) youth and their mothers, which started in 2001 with third through sixth graders in a Pacific Northwest public school district. The present study used Time 1 data for youth (KAF) collected in 2007 and Wave 4 data for youth (CCF) collected in 2004, in which youth participants’ age ranges were comparable between the three groups. Path analysis was conducted using MPlus to test the hypothesized relationships between perceived discrimination and adolescent outcomes (i.e., depressive symptoms, school misbehaviors, grades) and several mediators (i.e., co-ethnic friendship, ethnic identity, social support). The results are consistent with a story that suggests that perceived discrimination increased depressive symptoms for KA and VA adolescents, but it increased school misbehaviors only for CA adolescents. Among KA adolescents, perceived racial discrimination increased ethnic identity, which in turn increased social support, thereby reducing depressive symptoms. The results for KA adolescents show the significant mitigating role of the mediators on the negative impact of perceived discrimination on mental health. Conversely, among VA adolescents, perceived discrimination was not associated with ethnic identity, but ethnic identity was related to social support, which in turn was associated with lower depressive symptoms, fewer misbehaviors in school and better grades. Similarly, among CA adolescents, discrimination and ethnic identity were not significantly associated, but having more co-ethnic friendship was related to more social support, and related to lower depressive symptoms, fewer misbehaviors in school and better grades This study offers insights into the way in which perceived racial discrimination may exert a negative impact on children’s mental health and school outcomes and how the mechanisms that explain this relationship vary across AA subgroups. The results provide several implications for practice. For example, ethnic identity and social support should be targeted for intervention as they could improve the mental health and academic outcomes of youth across all AA subgroups. Perceived discrimination increases ethnic identity, but only among KA youth. This finding might indicate that the experience of adversity can be less detrimental if adversities such as racial discrimination can serve as an opportunity to strengthen a protective factor like ethnic identity. It is intriguing, however, that perceived racial discrimination did not strengthen ethnic identity among VA and CA adolescents. These findings of varying mechanisms across subgroups provide additional empirical support to tailor interventions for various AA subgroups.",social work,Dissertation/Thesis,NA,ProQuest
322,"Bagci, Sabahat C, Turnuklu, Abbas",2019,"Intended, unintended, and unknown consequences of contact: The role of positive-negative contact on outgroup attitudes, collective action tendencies, and psychological well-being",Social Psychology,50,1,7,23,10.1027/1864-9335/a000355,"We investigated the role of positive and negative contact on outgroup attitudes, collective action tendencies, and psychological well-being among minority (Kurds) and majority (Turks) group members in a conflict area (N = 527), testing ingroup identification, relative deprivation, and perceived discrimination as potential mediators in these associations. Contrary to recent research studies demonstrating the superiority of negative contact effects, positive contact was generally a stronger determinant of the dependent variables, directly and indirectly, in both groups, although negative contact also had some direct and indirect associations with the outcomes. Findings highlight the need to incorporate the role of positive and negative contact to provide a full understanding of the potential benefits/costs of the contact strategy in conflict settings. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",positive contact; negative contact; outgroup attitudes; collective action; psychological well-being,Journal Article,NA,PsycInfo
324,"Herda, Daniel",2016,The specter of discrimination: Fear of interpersonal racial discrimination among adolescents in Chicago,Social Science Research,55,NA,48,62,10.1016/j.ssresearch.2015.09.010,"This analysis examines fear of interpersonal racial discrimination among Black, Hispanic, and White adolescents. The extent and correlates of these concerns are examined using survey data from the Project for Human Development in Chicago Neighborhoods. Borrowing from the fear-of-crime literature, the contact hypothesis, and group threat theory, several hypotheses are developed linking discrimination fear to direct personal experience with discrimination, indirect or vicarious experience, and environmental signals of discrimination. Results show that about half of Blacks and Hispanics have feared discrimination in the past year. Multivariate results indicate that fear is most likely if one has experienced victimization first-hand and when one's parent is affected by discrimination. Further, a larger presence neighborhood outgroups produces greater fear. Overall, discrimination fear constitutes an additional obstacle for minority adolescents as they transition to adulthood. The phenomenon warrants increased scholarly attention and represents a fruitful avenue for future research. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",racial discrimination; fear; racial minorities; adolescents; chicago,Journal Article,NA,PsycInfo
325,Franco M.,2019,Let the racism tell you who your friends are: The effects of racism on social connections and life-satisfaction for Multiracial people,International Journal of Intercultural Relations,69,NA,54,65,10.1016/j.ijintrel.2018.12.005,"Multiracial people in the United States do not fit into traditional racial groups and are thus thought to be at increased risk of social isolation. The current study examines the contributions of racial and Multiracial-specific discrimination in predicting Multiracial people's social connections to people of various racial groups. Also examined is whether relationships between these types of discrimination and life-satisfaction are explained by friendship and community satisfaction. Results indicated that racial and Multiracial-specific discrimination each related to decreased feelings of commonality and acceptance among White people. As Multiracial people experienced more racial discrimination, they generally reported having more in common with, but less acceptance from, racial groups of color. As Multiracial people reported more racial or Multiracial-specific discrimination, they reported lower proportions of White friends and higher proportions of Multiracial friends. Relationships between racial discrimination and life-satisfaction were partially explained by community satisfaction whereas relationships between Multiracial discrimination and life-satisfaction were fully explained by decreased community satisfaction. © 2018 Elsevier Ltd",discrimination; friendship; life-satisfaction; multiracial; social connectedness,Article,Final,Scopus
336,"Dixon, John, Durrheim, Kevin, Tredoux, Colin, Tropp, Linda, Clack, Beverley, Eaton, Liberty",2010,"A paradox of integration interracial contact, prejudice reduction, and perceptions of racial discrimination",Journal of Social Issues,66,2,401,416,10.1111/j.1540-4560.2010.01652.x,"A random digit dialing survey (N = 596) investigated the relationship between quantity and quality of interracial contact and Black South Africans perceptions of racial discrimination in postapartheid society. Results showed that harmonious contact was associated with lower levels of perceived collective discrimination, an effect that was mediated by racial attitudes and personal experiences of racial discrimination. The implications of the survey's findings are discussed in relation to two models of social change in social psychology (cf. Wright & Lubensky, 2008 ): a model of change grounded in the rehabilitation of the prejudiced individual and a model of social change grounded in collective awareness of, and resistance to, systemic inequality. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",integration; blacks; whites; interracial contact; south africa; racial discrimination; postapartheid society,Journal Article,NA,PsycInfo
401,"Koschate, Miriam, Hofmann, Wilhelm, Schmitt, Manfred",2012,When East meets West: A longitudinal examination of the relationship between group relative deprivation and intergroup contact in reunified Germany,British Journal of Social Psychology,51,2,290,311,10.1111/j.2044-8309.2011.02056.x,"Intergroup contact and group relative deprivation have both been shown to play a key role in the understanding of intergroup relations. Nevertheless, we know little about their causal relationship. In order to shed some light on the directionality and causality of the relationship between intergroup contact and group relative deprivation, we analysed responses by East and West Germans from k = 97 different cities, collected 6 (NT1 = 1,001), 8 (NT2 = 747), and 10 years (NT3 = 565) after reunification. Multi-level cross-lagged analyses showed that group relative deprivation at T1 led to more (rather than less) intergroup contact between East and West Germans 2 years as well as 4 years later. We found no evidence for the reverse causal relationship, or moderation by group membership. Furthermore, admiration mediated the positive effect of relative deprivation on intergroup contact for both East and West Germans. This intriguing finding suggests that intergroup contact may be used as a proactive identity management strategy by members of both minority and majority groups. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",group relationships; group relative deprivation; intergroup contacts,Journal Article,NA,PsycInfo
402,Droogendyk L.M.,2015,The role of supportive contact in increasing collective action engagement among disadvantaged group members,NA,NA,NA,NA,NA,NA,[No abstract available],NA,NA,Final,Scopus Secondary Documents
414,"Bagci S.C., Turnuklu A., Bekmezci E.",2018,Cross-group friendships and psychological well-being: A dual pathway through social integration and empowerment,British Journal of Social Psychology,57,4,773,792,10.1111/bjso.12267,"This study investigated the associations between cross-group friendships and psychological well-being among a sample of physically disabled adults. A total of 269 disabled people (Mage = 39.13, SD = 13.80; 114 females, 152 males, 3 unknown) completed questionnaires including the quality of their friendships with non-disabled people, perceived majority group's attitudes towards the minority group, collective self-esteem, collective action tendencies, own outgroup attitudes, and psychological well-being. Findings demonstrated that disabled people's cross-group friendships were directly and indirectly associated with higher levels of psychological well-being via two routes: one by promoting perceived majority attitudes which consequently led to more positive own outgroup attitudes (well-being through social integration hypothesis) and the other by leading to higher levels of collective self-esteem which enhanced collective action tendencies (well-being through empowerment hypothesis). Findings offer important insights into the study of cross-group friendships in relation to the psychological well-being of stigmatized minority group members. © 2018 The British Psychological Society",collective action; cross-group friendships; disabled; minority; outgroup attitudes; psychological well-being,Article,Final,Scopus
423,"Bagci, Sabahat Cigdem, Stathi, Sofia, Piyale, Zeynep Ecem",2018,"Imagined contact facilitates acculturation, Sometimes: Contradicting evidence from two sociocultural contexts",Cultural Diversity and Ethnic Minority Psychology,NA,NA,NA,NA,10.1037/cdp0000256,"Objective: Imagined intergroup contact has been shown to be an effective tool to improve intergroup relationships in various settings, yet the application of the strategy among minority group members and across cultures has been scarce. The current research aimed to test imagined contact effects on minority group members' acculturation strategies (contact participation and culture maintenance), perceived discrimination, feelings of belongingness, and social acceptance across three studies conducted in the United Kingdom (Study 1) and Turkey (Studies 2 and 3). Method: The sample consisted of Eastern Europeans in Study 1 (N = 63) and Kurds in Study 2 and 3 (N = 66 and 210, respectively). Participants were randomly assigned to 1 of 2 conditions (control vs. imagined contact) and completed measures of acculturation, perceived discrimination, general belongingness, and social acceptance. Results: Findings showed that while imagined contact significantly reduced perceived discrimination and culture maintenance, and increased contact participation and social acceptance among Eastern Europeans (Study 1), it reduced social acceptance and contact participation among Kurds recruited from a conflict-ridden homogeneous setting (Study 2). With a larger and more heterogeneous sample of Kurds (Study 3), these effects occurred only among those with higher ingroup identification. Moreover, in all studies social acceptance mediated the effects of imagined contact on contact participation and perceived discrimination. Discussion. Findings offer important insights about the use of the imagined contact strategy among minority group members and imply the need to take into account the context-dependent nature of contact strategies. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",acculturation; discrimination; minority; identification; imagined contact,Journal Article,First Posting,PsycInfo
446,"Verkuyten M., Martinovic B.",2006,"Understanding multicultural attitudes: The role of group status, identification, friendships, and justifying ideologies",International Journal of Intercultural Relations,30,1,1,18,10.1016/j.ijintrel.2005.05.015,"Questions of multiculturalism and the management of cultural diversity are much debated in many countries. The present research aims to further the understanding of people's attitude toward multiculturalism by examining ethnic majority and minority group adolescents in the Netherlands. In two studies, the endorsement of multiculturalism was examined in relation to ingroup identification, perceived structural discrimination, outgroup friendships (Studies 1 and 2) and the ideological notions, communalism and individualism (Study 2). The ethnic minority group participants were found to be much more in favor of multiculturalism than the majority group. Furthermore, ingroup identification, perceived discrimination, outgroup friendships, and the two ideological notions appeared to be related independently to multiculturalism. However, high ethnic identification was related to lower endorsement of multiculturalism among the majority group and to higher endorsement of multiculturalism among the minority group. In addition, outgroup friendships only had a positive effect on multiculturalism for the majority group. The effects for perceived structural discrimination and communalism were positive and similar for both groups of participants. Individualism had a negative effect on multiculturalism for both groups. © 2005 Elsevier Ltd. All rights reserved.",group status; identification; ideologies; multiculturalism,Article,Final,Scopus
